spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
0,0,278,256,136,255,3001,0
279,0,278,255,136,254,3001,7
558,0,278,251,136,250,3001,6
837,0,278,250,136,249,3001,5
1116,0,278,249,136,248,3001,4
1395,0,278,243,136,242,3001,1
1674,0,278,243,136,241,3001,10
0,257,278,239,136,238,3001,2
279,257,278,239,136,237,3001,11
558,257,278,238,136,237,3001,3
837,257,278,235,136,233,3001,8
1116,257,278,234,136,233,3001,9
1395,257,120,138,0,0,9000,1
1516,257,135,133,69,129,191,3
1652,257,135,130,69,129,191,0
1788,257,135,130,69,129,191,1
0,497,135,130,69,129,191,2
136,497,24,79,12,78,1001,7
161,497,24,74,12,73,1001,8
186,497,30,69,9,68,1000,3
217,497,35,67,26,66,804,0
253,497,37,66,16,49,306,4
291,497,33,66,13,47,306,5
325,497,37,66,16,49,306,6
363,497,20,65,10,64,1001,6
384,497,52,64,9,63,1000,4
437,497,18,63,8,64,602,3
456,497,38,62,25,64,604,6
495,497,58,62,26,61,804,1
554,497,32,61,20,60,195,4
587,497,34,61,19,46,306,7
622,497,38,60,22,61,604,0
661,497,33,59,20,58,195,5
695,497,26,59,15,60,604,7
722,497,54,58,26,47,601,2
777,497,37,58,16,60,604,2
815,497,32,58,20,64,604,3
848,497,54,57,26,47,601,1
903,497,20,57,10,56,1001,9
924,497,40,56,24,57,601,7
965,497,63,56,56,56,604,4
1029,497,55,55,24,57,601,6
1085,497,18,53,2,35,600,0
1104,497,26,53,12,52,602,2
1131,497,48,53,35,56,604,5
1180,497,32,52,20,51,195,3
1213,497,35,52,14,42,306,3
1249,497,28,52,18,51,410,3
1278,497,17,52,8,38,600,7
1296,497,36,51,19,25,5040,20
1333,497,36,51,26,19,5041,20
1370,497,36,51,12,-2,5042,20
1407,497,37,50,18,36,5030,20
1445,497,37,50,26,19,5031,20
1483,497,37,50,12,-2,5032,20
1521,497,47,49,20,28,302,3
1569,497,29,49,18,48,410,2
1599,497,67,49,26,50,601,0
1667,497,72,49,26,47,601,3
1740,497,78,49,26,48,601,4
1819,497,19,49,8,48,603,1
1839,497,17,49,7,45,603,5
1857,497,18,49,9,48,1001,5
1876,497,37,49,18,33,5030,30
1914,497,37,49,26,19,5031,30
1952,497,37,49,12,-2,5032,30
1990,497,37,49,17,51,5070,20
0,628,30,48,15,46,41,4
31,628,26,48,11,46,41,5
58,628,26,48,12,50,602,1
85,628,42,48,23,57,604,1
128,628,39,48,19,47,5070,10
168,628,38,47,20,46,410,6
207,628,58,47,8,46,600,4
266,628,47,47,31,48,600,13
314,628,34,47,24,47,601,8
349,628,40,47,19,37,5030,40
390,628,40,47,26,19,5031,40
431,628,40,47,12,-2,5032,40
472,628,22,46,6,35,41,2
495,628,18,46,9,45,1001,10
514,628,24,45,8,35,41,1
539,628,53,45,41,50,600,12
593,628,29,44,19,43,410,4
623,628,49,44,38,37,600,6
673,628,71,44,24,47,601,5
745,628,17,44,7,42,603,4
763,628,30,44,10,43,800,0
794,628,43,43,20,26,302,2
838,628,31,43,20,42,410,7
870,628,18,43,8,42,603,3
889,628,38,43,25,49,603,8
928,628,57,42,24,32,176,0
986,628,58,42,25,31,176,1
1045,628,62,42,29,30,176,2
1108,628,18,42,7,41,1002,4
1127,628,58,41,25,30,176,3
1186,628,32,41,20,40,195,2
1219,628,33,41,28,40,300,8
1253,628,39,41,9,40,600,5
1293,628,18,41,8,42,603,0
1312,628,19,41,7,34,801,2
1332,628,43,41,29,40,803,2
1376,628,31,40,27,39,300,6
1408,628,37,40,32,39,300,7
1446,628,44,40,30,39,803,3
1491,628,44,40,30,39,803,4
1536,628,44,40,30,39,803,5
1581,628,18,40,7,39,1002,5
1600,628,38,40,20,39,3000,2
1639,628,34,40,17,25,5040,0
1674,628,34,40,26,19,5041,0
1709,628,34,40,12,-2,5042,0
1744,628,46,39,7,37,600,8
1791,628,22,39,9,38,1002,3
1814,628,38,39,20,38,3000,3
1853,628,47,39,29,36,5030,10
1901,628,47,39,26,19,5031,10
1949,628,47,39,12,-2,5032,10
1997,628,20,38,11,37,190,2
0,677,43,38,22,37,306,2
44,677,30,38,18,37,410,0
75,677,40,38,24,37,800,1
116,677,32,37,20,36,0,4
149,677,32,37,20,36,0,5
182,677,20,37,11,36,190,3
203,677,33,37,20,36,195,1
237,677,49,37,33,36,215,0
287,677,33,37,8,36,600,1
321,677,34,37,20,36,600,2
356,677,39,37,8,36,600,3
396,677,43,37,30,43,600,11
440,677,42,37,28,36,1000,2
483,677,24,37,12,36,1001,4
508,677,24,37,10,36,1002,2
533,677,18,37,7,36,1002,6
552,677,49,37,35,36,5030,0
602,677,49,37,19,38,5030,50
652,677,49,37,26,19,5031,0
702,677,49,37,26,19,5031,50
752,677,49,37,12,-2,5032,0
802,677,49,37,12,-2,5032,50
852,677,38,37,23,36,5060,0
891,677,38,37,15,37,5060,10
930,677,32,36,20,35,0,0
963,677,32,36,20,35,0,1
996,677,32,36,20,35,0,2
1029,677,32,36,20,35,0,3
1062,677,44,36,34,35,20,2
1107,677,44,36,34,35,20,6
1152,677,58,36,40,35,100,2
1211,677,25,36,15,35,177,0
1237,677,38,36,23,35,201,0
1276,677,34,36,14,35,215,1
1311,677,39,36,18,35,215,2
1351,677,24,36,4,35,215,3
1376,677,56,36,2,35,215,4
1433,677,30,36,10,35,215,6
1464,677,36,36,19,35,215,7
1501,677,35,36,25,35,300,1
1537,677,39,36,25,35,300,3
1577,677,82,36,37,35,305,1
1660,677,82,36,37,35,305,2
1743,677,82,36,38,35,305,3
1826,677,56,36,8,35,801,3
1883,677,42,36,9,35,801,4
1926,677,38,36,23,35,803,0
1965,677,25,36,16,35,1001,11
1991,677,28,36,18,35,1001,12
0,716,33,36,20,35,1340,0
34,716,33,36,21,35,1340,1
68,716,51,36,31,35,5070,0
120,716,45,35,35,34,20,1
166,716,44,35,34,34,20,3
211,716,45,35,35,34,20,5
257,716,44,35,34,34,20,7
302,716,45,35,29,36,41,3
348,716,55,35,40,34,100,1
404,716,58,35,40,34,100,3
463,716,58,35,40,34,100,5
522,716,38,35,22,34,200,4
561,716,45,35,23,34,201,1
607,716,42,35,23,34,201,2
650,716,62,35,23,34,201,3
713,716,46,35,22,34,201,5
760,716,41,35,5,34,215,5
802,716,33,35,23,34,240,7
836,716,36,35,25,34,300,0
873,716,37,35,25,34,300,2
