spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
0,0,120,140,0,0,9000,1
121,0,35,69,16,53,306,2
157,0,35,66,16,53,306,1
193,0,45,55,27,54,3000,0
239,0,45,55,27,54,3001,0
285,0,45,55,27,55,3001,1
331,0,35,54,18,53,190,0
367,0,35,54,16,53,306,0
403,0,45,54,27,53,3000,1
449,0,46,54,27,56,3001,2
496,0,44,54,27,55,3001,3
541,0,45,53,27,52,3000,2
587,0,44,53,27,56,3001,4
632,0,39,44,20,43,176,2
672,0,31,43,17,36,603,2
704,0,32,42,19,41,602,0
737,0,35,40,13,29,215,3
773,0,35,40,19,31,215,7
809,0,34,40,15,39,602,1
844,0,37,40,14,32,602,5
882,0,31,40,17,36,603,1
914,0,28,40,14,38,1002,0
943,0,39,39,20,38,177,1
983,0,39,39,18,37,177,5
1023,0,35,39,20,35,5030,10
1059,0,36,39,23,32,5030,20
1096,0,35,39,16,22,5031,10
1132,0,36,39,16,22,5031,20
1169,0,35,39,8,7,5032,10
1205,0,36,39,8,7,5032,20
1242,0,30,38,15,37,41,0
1273,0,37,38,17,37,120,0
1311,0,30,38,15,37,177,0
1342,0,30,38,13,37,177,4
1373,0,39,38,15,37,200,3
1413,0,38,38,12,37,602,2
1452,0,40,38,15,33,602,3
1493,0,40,38,18,32,602,7
1534,0,31,38,17,36,603,0
1566,0,33,38,16,36,604,0
1600,0,35,38,18,36,604,1
1636,0,39,38,22,36,604,2
1676,0,37,38,15,37,5010,20
1714,0,39,38,19,36,5070,10
1754,0,35,37,20,36,176,1
1790,0,41,37,21,33,177,3
1832,0,41,37,20,38,177,7
1874,0,31,37,19,36,200,0
1906,0,33,37,16,36,200,1
1940,0,35,37,15,36,200,2
1976,0,30,37,17,36,201,0
2007,0,30,37,16,36,410,0
0,141,33,37,16,36,410,1
34,141,28,37,14,35,1002,1
63,141,32,37,20,36,5000,20
96,141,32,37,16,22,5001,20
129,141,32,37,8,7,5002,20
162,141,35,37,16,22,5011,20
198,141,35,37,8,7,5012,20
234,141,30,37,16,35,5060,0
265,141,30,37,13,35,5060,10
296,141,31,36,16,35,195,0
328,141,31,36,16,35,195,1
360,141,36,36,16,35,240,1
397,141,30,36,15,37,601,0
428,141,34,36,15,37,601,1
463,141,34,36,12,29,602,4
498,141,34,36,15,35,602,8
533,141,29,36,17,35,5000,10
563,141,29,36,16,22,5001,10
593,141,29,36,8,7,5002,10
623,141,33,36,15,35,5010,10
657,141,39,36,20,29,5030,50
697,141,39,36,16,22,5031,50
737,141,39,36,8,7,5032,50
777,141,30,35,16,34,0,0
808,141,30,35,15,34,20,0
839,141,30,35,16,36,41,1
870,141,27,35,14,28,70,0
898,141,35,35,14,30,70,1
934,141,36,35,16,25,70,3
971,141,27,35,14,29,70,4
999,141,35,35,21,27,70,5
1035,141,36,35,20,33,70,7
1072,141,30,35,16,35,100,1
1103,141,30,35,16,34,100,2
1134,141,30,35,16,35,100,3
1165,141,37,35,18,34,101,0
1203,141,30,35,16,34,170,0
1234,141,40,35,18,30,215,1
1275,141,40,35,20,26,215,5
1316,141,30,35,16,34,240,0
1347,141,30,35,16,34,5000,0
1378,141,30,35,16,22,5001,0
1409,141,30,35,8,7,5002,0
1440,141,30,35,16,34,5010,0
1471,141,30,35,16,22,5011,0
1502,141,32,35,16,22,5011,10
1535,141,30,35,8,7,5012,0
1566,141,32,35,8,7,5012,10
1599,141,30,35,17,34,5020,10
1630,141,30,35,18,34,5020,20
1661,141,39,35,24,29,5030,40
1701,141,39,35,16,22,5031,40
1741,141,39,35,8,7,5032,40
1781,141,30,35,16,34,5300,0
1812,141,30,34,16,33,0,1
1843,141,32,34,16,33,11,0
1876,141,30,34,15,35,20,1
1907,141,30,34,15,35,20,2
1938,141,30,34,16,36,100,0
1969,141,30,34,16,36,100,4
2000,141,30,34,18,32,170,1
0,179,30,34,16,35,196,0
31,179,34,34,17,38,201,1
66,179,30,34,16,33,400,0
97,179,34,34,16,33,400,1
132,179,36,34,17,28,602,6
169,179,30,34,16,33,1000,0
200,179,30,34,16,32,5030,0
231,179,30,34,16,22,5031,0
262,179,30,34,8,7,5032,0
293,179,30,34,17,33,5070,0
324,179,30,33,16,32,0,2
355,179,31,33,16,32,0,3
