spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
2016,0,25,25,0,1,9000,0
2016,25,12,25,0,1,9000,2
1536,1845,96,96,19,94,0,0
1440,1845,96,96,19,94,0,1
1344,1845,96,96,19,94,0,2
1248,1845,96,96,19,94,0,3
1152,1842,96,96,19,94,0,4
1056,1842,96,96,19,94,0,5
960,1842,96,96,19,94,0,6
864,1842,96,96,19,94,0,7
1056,1266,96,96,19,94,0,8
960,1266,96,96,19,94,0,9
864,1266,96,96,36,84,6,30
768,1266,96,96,37,87,6,11
672,1266,96,96,35,90,6,12
576,1266,96,96,28,61,5,30
480,1266,96,96,51,61,5,20
1044,1938,84,68,45,62,5,1
372,1938,84,68,45,62,5,2
288,1938,84,68,45,62,5,3
456,1938,84,68,45,62,5,4
540,1938,84,68,45,62,5,5
960,1938,84,68,45,62,5,6
876,1938,84,68,45,62,5,7
792,1938,84,68,45,62,5,8
708,1938,84,68,45,62,5,9
624,1938,84,68,45,62,5,10
1292,1941,82,66,25,64,4,0
1128,1938,82,66,25,64,4,1
1210,1941,82,66,25,64,4,2
1152,1170,96,96,35,84,4,3
1056,1170,96,96,34,91,4,4
960,1170,96,96,33,90,4,5
864,1170,96,96,28,94,3,0
768,1170,96,96,27,94,3,1
672,1170,96,96,27,94,3,2
576,1170,96,96,27,94,3,20
480,1170,96,96,28,94,3,21
384,1170,96,96,36,93,2,20
192,1170,96,96,36,93,2,0
96,1170,96,96,36,93,2,1
0,1170,96,96,36,93,2,2
1920,1166,96,96,36,93,2,3
1824,1166,96,96,36,93,2,4
1920,974,96,96,29,92,2,5
1824,206,96,96,31,92,2,6
1920,206,96,96,33,92,2,7
0,210,96,96,35,92,2,8
96,210,96,96,30,92,2,9
192,210,96,96,32,91,2,10
288,210,96,96,31,93,7,0
384,210,96,96,31,93,7,1
480,210,96,96,31,93,7,2
576,210,96,96,40,97,7,3
672,210,96,96,23,92,7,4
768,210,96,96,24,92,7,5
864,210,96,96,24,92,7,6
960,210,96,96,66,90,50,0
1056,210,96,96,65,89,50,1
1152,210,96,96,66,90,50,2
1824,302,96,96,34,94,50,3
1920,302,96,96,48,88,50,4
0,306,96,96,48,89,50,5
96,306,96,96,48,88,50,6
192,306,96,96,41,86,50,7
288,306,96,96,40,93,50,8
384,306,96,96,35,84,50,9
480,306,96,96,41,93,50,10
576,306,96,96,39,94,50,11
672,306,96,96,40,82,50,12
768,306,96,96,59,86,50,13
864,306,96,96,40,82,50,14
960,306,96,96,31,91,200,17
1056,306,96,96,33,93,200,18
1152,306,96,96,26,91,200,19
1248,309,96,96,30,92,200,20
1344,309,96,96,32,92,200,21
1440,309,96,96,31,91,200,22
1536,309,96,96,25,92,200,23
1632,309,96,96,25,92,200,24
1728,309,96,96,13,94,200,25
1824,398,96,96,9,92,200,26
1920,398,96,96,14,93,200,27
0,402,96,96,17,75,200,28
96,402,96,96,19,101,200,29
192,402,96,96,51,88,200,30
288,402,96,96,51,89,200,31
384,402,96,96,53,88,200,32
480,402,96,96,53,89,200,33
576,402,96,96,34,95,200,34
672,402,96,96,18,90,200,35
768,402,96,96,15,91,200,36
864,402,96,96,20,91,200,40
960,402,96,96,19,91,200,41
1056,402,96,96,18,91,200,42
1152,402,96,96,18,91,200,43
1248,405,96,96,25,88,200,44
1344,405,96,96,25,88,200,45
1440,405,96,96,28,69,55,0
1536,405,96,96,24,64,55,1
1632,405,96,96,28,70,55,2
1728,405,96,96,31,69,55,3
1824,494,96,96,35,82,55,4
1920,494,96,96,20,79,55,5
0,498,96,96,28,79,55,6
96,498,96,96,40,89,55,10
192,498,96,96,39,93,55,7
288,498,96,96,42,79,55,8
384,498,96,96,65,90,201,0
480,498,96,96,63,90,201,1
576,498,96,96,11,93,201,2
672,498,96,96,13,93,201,3
768,498,96,96,45,94,201,4
864,498,96,96,46,94,201,5
960,498,96,96,58,68,202,0
1056,498,96,96,41,76,202,1
1152,498,96,96,36,76,202,2
1248,501,96,96,34,78,202,3
1344,501,96,96,29,94,202,4
1440,501,96,96,21,82,202,5
1536,501,96,96,12,76,202,6
1632,501,96,96,12,77,202,7
1728,501,96,96,33,93,30,0
1824,590,96,96,40,92,30,1
1920,590,96,96,33,92,30,2
0,594,96,96,32,92,30,3
96,594,96,96,32,92,30,4
192,594,96,96,32,92,30,5
288,594,96,96,32,92,30,6
384,594,96,96,33,96,205,0
480,594,96,96,32,97,205,1
576,594,96,96,43,97,205,2
672,594,96,96,39,99,205,3
768,594,96,96,37,98,205,4
864,594,96,96,17,95,205,5
960,594,96,96,19,93,205,6
1056,594,96,96,20,93,205,7
1152,594,96,96,14,93,220,0
1248,597,96,96,14,93,220,1
1344,597,96,96,16,93,220,2
1440,597,96,96,16,93,220,3
1536,597,96,96,16,93,220,4
1632,597,96,96,21,75,1000,0
1728,597,96,96,54,74,1000,1
1824,686,96,96,101,92,1000,2
1920,686,96,96,70,92,1000,3
0,690,96,96,70,92,1000,4
96,690,96,96,78,93,1000,10
192,690,96,96,18,71,1000,5
288,690,96,96,24,91,1000,6
384,690,96,96,24,91,1000,7
480,690,96,96,24,91,1000,8
576,690,96,96,35,88,300,0
672,690,96,96,52,82,300,1
768,690,96,96,52,84,300,2
864,690,96,96,48,84,300,3
960,690,96,96,29,91,300,4
1056,690,96,96,32,87,300,5
1152,690,96,96,31,92,300,6
1248,693,96,96,41,83,300,7
1344,693,96,96,60,82,300,8
1440,693,96,96,57,82,300,9
1536,693,96,96,47,83,300,10
1632,693,96,96,24,78,300,11
1728,693,96,96,47,70,300,12
1824,782,96,96,54,77,300,13
1920,782,96,96,44,81,300,14
0,786,96,96,55,101,300,15
96,786,96,96,38,100,300,16
192,786,96,96,22,92,300,17
288,786,96,96,25,89,300,18
384,786,96,96,28,81,300,19
480,786,96,96,53,102,1010,0
576,786,96,96,68,99,1010,1
672,786,96,96,33,90,1010,2
768,786,96,96,23,85,1010,3
864,786,96,96,27,88,1010,4
960,786,96,96,27,89,1010,5
1056,786,96,96,10,93,1200,0
1152,786,96,96,10,93,1200,1
1248,789,96,96,10,93,1200,20
1344,789,96,96,12,90,1200,2
1440,789,96,96,37,97,1200,3
1536,789,96,96,37,104,1200,4
1632,789,96,96,12,109,1200,5
1728,789,96,96,39,108,1200,6
1824,878,96,96,17,100,1200,7
1920,878,96,96,26,94,1200,8
0,882,96,96,26,94,1200,10
96,882,96,96,12,55,1200,40
192,882,96,96,23,45,1200,41
288,882,96,96,20,43,1200,42
384,882,96,96,15,51,1200,43
480,882,96,96,29,56,1200,44
576,882,96,96,32,58,1200,45
672,882,96,96,49,55,400,0
768,882,96,96,42,55,400,1
864,882,96,96,39,58,400,2
960,882,96,96,17,60,400,3
1056,882,96,96,12,57,400,4
1152,882,96,96,19,58,400,5
1248,885,96,96,19,58,400,6
1344,885,96,96,20,66,401,0
1440,885,96,96,34,65,401,1
1536,885,96,96,37,66,401,2
1632,885,96,96,16,63,401,3
1728,885,96,96,19,60,401,4
1824,974,96,96,21,61,401,5
0,1938,96,96,17,64,401,6
0,978,96,96,16,63,22,2
96,978,96,96,13,66,22,3
192,978,96,96,13,68,22,4
288,978,96,96,13,68,22,5
384,978,96,96,17,66,22,6
480,978,96,96,32,89,615,0
576,978,96,96,26,91,615,1
672,978,96,96,29,92,615,2
768,978,96,96,32,92,615,3
864,978,96,96,27,92,615,4
960,978,96,96,26,93,615,5
1056,978,96,96,26,94,615,6
1152,978,96,96,32,93,615,7
1248,981,96,96,28,92,615,8
1344,981,96,96,27,93,615,9
1440,981,96,96,28,93,615,10
1536,981,96,96,40,94,8000,0
1632,981,96,96,40,94,8000,1
1728,981,96,96,40,94,8000,2
1824,1070,96,96,40,94,8000,3
1920,1070,96,96,40,94,8000,4
0,1074,96,96,40,94,8000,5
96,1074,96,96,40,94,8000,6
192,1074,96,96,40,94,8000,7
288,1074,96,96,40,94,8000,8
384,1074,96,96,40,94,8000,9
480,1074,96,96,40,94,8000,10
576,1074,96,96,40,94,8000,11
672,1074,96,96,40,94,8000,12
768,1074,96,96,37,93,8000,13
864,1074,96,96,37,93,8000,14
960,1074,96,96,37,93,8000,15
1056,1074,96,96,37,93,8000,16
1152,1074,96,96,59,95,8000,17
1248,1077,96,96,66,94,8000,18
1344,1077,96,96,32,92,8000,19
1440,1077,96,96,26,93,8000,20
1536,1077,96,96,19,93,8000,21
1632,1077,96,96,55,92,8000,22
1728,1077,96,96,66,96,8000,23
1632,206,96,103,68,99,8000,24
1536,206,96,103,75,97,8000,25
1440,206,96,103,56,79,8000,26
1344,206,96,103,16,60,8000,27
1248,206,96,103,11,60,8000,28
1728,206,96,103,19,93,8000,29
1152,107,96,103,12,93,8000,30
1056,107,96,103,8,93,8000,31
960,107,96,103,25,94,8000,32
864,107,96,103,23,118,8000,33
768,107,96,103,67,92,8000,34
672,107,96,103,67,92,8000,35
576,107,96,103,67,92,8000,36
480,107,96,103,24,93,8000,37
384,107,96,103,57,93,8000,38
288,107,96,103,56,93,8000,39
192,107,96,103,23,93,8000,40
96,107,96,103,23,93,8000,41
0,107,96,103,15,92,8000,42
1920,103,96,103,13,92,8000,43
1824,103,96,103,76,94,8000,44
1728,103,96,103,77,91,8000,45
1632,103,96,103,25,93,8000,46
1536,103,96,103,25,93,8000,47
1440,103,96,103,25,93,8000,48
1344,103,96,103,32,106,8000,49
1248,103,96,103,20,114,8000,50
1920,0,96,103,60,103,8000,51
1824,0,96,103,37,106,8000,52
1728,0,96,103,37,107,8000,53
1632,0,96,103,37,107,8000,54
1536,0,96,103,37,107,8000,55
1440,0,96,103,37,107,8000,56
1344,0,96,103,45,103,8000,57
1248,0,96,103,37,84,8000,58
1152,1266,96,96,64,92,550,0
1248,1269,96,96,66,93,550,1
