spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
4064,2402,25,25,0,1,9000,0
4064,2427,12,25,0,1,9000,2
2784,2498,67,25,0,0,9000,10
1792,2299,128,128,33,62,0,0
1664,2299,128,128,33,62,0,1
1536,2299,128,128,33,62,0,2
1408,2299,128,128,33,62,0,3
1280,2299,128,128,33,62,0,4
1152,2299,128,128,33,62,0,5
1024,2299,128,128,33,62,0,6
896,2299,128,128,33,62,0,7
896,1787,128,128,33,62,0,8
1280,1403,128,128,33,62,0,9
2908,1154,128,128,33,62,0,10
2304,1147,128,128,33,62,0,11
2176,1147,128,128,33,62,0,12
2048,1147,128,128,33,62,0,13
1920,1147,128,128,33,62,0,14
1792,1147,128,128,33,62,0,15
1664,1147,128,128,33,62,0,16
1536,1147,128,128,33,62,1,0
1408,1147,128,128,33,62,1,1
1280,1147,128,128,33,62,1,2
128,1147,128,128,33,62,1,3
0,1147,128,128,33,62,1,4
2652,1143,128,128,33,62,1,5
2780,1143,128,128,33,62,1,6
640,1147,128,128,33,62,1,7
896,1147,128,128,34,62,1,8
1024,1147,128,128,32,62,1,9
3072,1282,128,128,32,62,1,10
3200,1282,128,128,32,62,1,11
3328,1282,128,128,32,62,1,12
3456,1282,128,128,34,62,1,13
3584,1282,128,128,31,94,2,0
3712,1282,128,128,31,94,2,1
3840,1282,128,128,31,94,2,2
3968,1282,128,128,31,94,2,3
2432,1299,128,128,31,94,2,4
2560,1399,128,128,31,94,2,5
2688,1399,128,128,31,94,2,6
128,1403,128,128,31,94,2,7
2688,1783,128,128,31,94,2,8
0,1787,128,128,31,94,2,9
128,1787,128,128,31,94,2,10
256,1787,128,128,36,94,3,0
384,1787,128,128,36,94,3,1
512,1787,128,128,36,94,3,2
2560,2295,128,128,36,94,3,3
3968,2178,128,128,36,94,3,4
3840,2178,128,128,36,94,3,5
3712,2178,128,128,36,94,3,6
3584,2178,128,128,36,94,3,7
3456,2178,128,128,36,94,3,8
3328,2178,128,128,34,94,4,0
3200,2178,128,128,34,94,4,1
3072,2178,128,128,34,94,4,2
2944,2178,128,128,34,94,4,3
2816,2178,128,128,34,94,4,4
2304,2171,128,128,34,94,4,5
2176,2171,128,128,27,91,4,6
2048,2171,128,128,32,94,5,0
1920,2171,128,128,32,94,5,1
1792,2171,128,128,32,94,5,2
1664,2171,128,128,32,94,5,3
1536,2171,128,128,32,94,5,4
1408,2171,128,128,32,94,5,5
1280,2171,128,128,35,94,6,0
1152,2171,128,128,35,94,6,1
1024,2171,128,128,35,94,6,2
896,2171,128,128,32,83,6,3
768,2171,128,128,32,83,6,4
640,2171,128,128,32,83,6,5
512,2171,128,128,31,87,6,6
384,2171,128,128,31,87,6,7
256,2171,128,128,32,88,6,8
128,2171,128,128,32,89,6,9
0,2171,128,128,33,95,6,10
2688,2167,128,128,33,95,6,11
2560,2167,128,128,33,95,6,12
2432,2067,128,128,31,92,6,13
3968,2050,128,128,31,92,6,14
3840,2050,128,128,32,90,6,15
3712,2050,128,128,32,89,6,16
3584,2050,128,128,32,88,6,17
3456,2050,128,128,31,87,6,18
3328,2050,128,128,30,84,6,19
3200,2050,128,128,34,82,6,20
3072,2050,128,128,35,88,6,21
2944,2050,128,128,35,91,6,22
2816,2050,128,128,35,91,6,40
2304,2043,128,128,37,91,6,23
2176,2043,128,128,34,86,6,24
2048,2043,128,128,31,83,6,25
1920,2043,128,128,31,88,6,26
1792,2043,128,128,30,89,6,27
1664,2043,128,128,28,88,6,28
1536,2043,128,128,33,88,6,29
1408,2043,128,128,39,94,7,0
1280,2043,128,128,39,94,7,1
1152,2043,128,128,39,94,7,2
1024,2043,128,128,37,94,7,3
3584,1410,128,128,37,94,7,4
3328,1794,128,128,37,94,7,5
3072,1794,128,128,41,94,7,6
2944,1794,128,128,41,94,7,7
2816,1794,128,128,41,94,7,8
2304,1787,128,128,41,94,7,9
2176,1787,128,128,41,94,7,10
2048,1787,128,128,37,84,8,0
1920,1787,128,128,37,84,8,1
1792,1787,128,128,34,84,8,2
1664,1787,128,128,32,83,8,3
1536,1787,128,128,30,84,8,4
1408,1787,128,128,31,81,8,5
