spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
1172,819,25,25,0,1,9000,0
26,819,12,25,0,1,9000,2
1227,841,40,11,0,0,9000,10
1897,483,38,51,15,50,0,0
1504,584,37,50,15,49,0,1
421,683,35,49,15,48,0,2
1656,683,35,48,15,47,0,3
1619,683,37,48,15,47,0,4
236,635,38,49,15,48,0,5
1391,584,38,50,15,49,0,6
1824,584,35,50,15,49,0,7
1859,584,35,50,16,49,0,8
1649,584,35,50,16,49,0,9
1963,584,33,50,16,49,0,10
523,683,33,49,16,48,0,11
588,683,32,49,16,48,0,12
556,683,32,49,15,48,0,13
2016,634,32,49,15,48,0,14
386,683,35,49,15,48,0,15
0,485,38,51,16,50,1,0
1641,430,32,53,12,52,1,1
1484,377,31,54,12,53,1,2
663,323,31,55,13,54,1,3
1735,430,31,53,13,52,1,4
1325,377,32,54,13,53,1,5
1608,430,33,53,12,52,1,6
1461,431,36,52,14,51,1,7
543,209,59,58,26,57,2,0
662,208,57,59,24,58,2,1
771,152,56,60,24,59,2,2
1390,208,55,59,23,58,2,3
1159,148,55,61,23,60,2,4
827,152,54,60,21,59,2,5
1333,208,57,59,24,58,2,6
130,210,59,57,26,56,2,7
1616,534,50,50,19,48,3,0
1439,483,45,51,19,50,3,1
1143,634,49,49,25,52,3,2
973,483,49,51,25,50,3,3
1394,483,45,51,19,50,3,4
226,378,45,53,19,52,3,5
1192,634,48,49,24,54,3,6
1212,483,46,51,22,50,3,7
0,635,40,49,15,48,3,8
977,731,39,47,15,46,3,9
1556,731,38,45,15,44,3,10
1719,584,35,50,10,49,3,11
1896,634,40,49,16,48,4,0
481,775,43,43,17,42,4,1
942,817,43,38,17,37,4,2
38,818,43,37,18,36,4,3
1711,775,50,42,20,41,4,4
1844,777,39,42,18,41,5,0
98,778,48,40,25,39,5,1
81,818,55,36,25,35,5,2
739,778,56,39,27,38,5,3
940,377,39,54,23,53,5,4
795,778,54,39,26,37,5,5
1110,777,56,42,24,41,5,6
1418,731,50,45,19,44,5,7
1166,777,48,42,19,41,6,0
648,775,32,42,15,43,6,1
1797,430,30,53,18,50,7,0
2016,377,32,53,18,50,7,1
1910,430,30,53,17,51,7,2
1544,683,38,48,20,50,7,3
559,818,57,31,28,40,7,4
1054,731,57,46,28,51,7,5
1660,208,30,58,22,57,7,6
1179,266,30,57,21,57,7,7
370,818,58,33,33,38,7,9
614,732,54,43,29,37,7,8
1564,818,74,28,43,19,7,10
1696,483,41,51,25,50,8,0
1196,584,39,50,23,49,8,1
429,534,35,51,17,50,8,2
1582,683,37,48,21,47,8,3
490,683,33,49,22,48,8,4
456,683,34,49,15,48,8,5
1368,731,50,45,27,44,8,6
524,775,42,43,19,42,8,7
0,778,38,41,15,40,8,8
987,634,53,49,22,47,8,9
826,634,55,49,23,47,8,10
1936,634,40,49,17,48,9,0
1883,777,39,42,17,41,9,1
