spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
2860,3637,25,25,0,1,9000,0
89,3579,12,25,0,1,9000,2
3327,3638,67,25,0,0,9000,10
106,3452,53,66,29,55,0,0
53,3452,53,66,29,55,0,1
0,3452,53,66,29,55,0,2
3127,3451,53,66,29,55,0,3
3074,3451,53,66,29,55,0,4
2136,3450,53,66,29,55,0,5
1724,3451,53,66,29,55,0,6
1671,3451,53,66,29,55,0,7
1618,3451,53,66,29,55,0,8
1565,3451,53,66,29,55,0,9
1512,3451,53,66,29,55,0,10
2507,3450,53,66,29,55,0,11
2454,3450,53,66,29,55,0,12
2401,3450,53,66,29,55,0,13
2348,3450,53,66,29,55,0,14
2295,3450,53,66,29,55,0,15
2242,3450,53,66,29,55,0,16
2189,3450,53,66,29,55,0,17
1777,3451,53,66,29,55,0,18
864,3383,108,69,65,56,1,0
972,3383,108,69,65,56,1,1
1080,3383,108,69,65,56,1,2
1188,3383,108,69,65,56,1,3
1296,3383,108,69,65,56,1,4
1404,3383,108,69,65,56,1,5
756,3383,108,69,65,56,1,6
648,3383,108,69,65,56,1,7
540,3383,108,69,65,56,1,8
432,3383,108,69,65,56,1,9
3074,3382,108,69,65,56,1,10
324,3383,108,69,65,56,1,11
216,3383,108,69,65,56,1,12
108,3383,108,69,65,56,1,13
0,3383,108,69,65,56,1,14
1876,3383,108,69,65,56,1,15
2634,3239,78,73,36,65,2,0
1098,3239,78,73,36,65,2,1
1176,3239,78,73,36,65,2,2
1254,3239,78,73,36,65,2,3
1332,3239,78,73,36,65,2,4
1410,3239,78,73,36,65,2,5
1488,3239,78,73,36,65,2,6
2088,3239,78,73,36,65,2,7
2166,3239,78,73,36,65,2,8
2556,3239,78,73,36,65,2,9
2478,3239,78,73,36,65,2,10
2400,3239,78,73,36,65,2,11
942,3239,78,73,36,65,2,12
1020,3239,78,73,36,65,2,13
2244,3239,78,73,36,65,2,14
2322,3239,78,73,36,65,2,15
3297,3577,111,61,59,51,3,0
111,3578,111,61,59,51,3,1
222,3578,111,61,59,51,3,2
333,3578,111,61,59,51,3,3
444,3578,111,61,59,51,3,4
3467,3576,111,61,59,51,3,5
2185,3577,111,61,59,51,3,6
2296,3577,111,61,59,51,3,7
2407,3577,111,61,65,51,3,8
3927,3575,111,61,66,51,3,9
3816,3575,111,61,66,51,3,10
3705,3575,111,61,59,51,3,11
3594,3575,111,61,59,51,3,12
0,3518,111,61,59,51,3,13
2631,3517,111,61,59,51,3,14
1713,3517,111,61,59,51,3,15
1602,3517,111,61,59,51,3,16
1491,3517,111,61,59,51,3,17
825,3517,111,61,59,51,3,18
603,3517,111,61,65,51,3,19
492,3517,111,61,66,51,3,20
381,3517,111,61,66,51,3,21
3847,2845,93,80,52,64,4,0
1798,2855,93,80,52,64,4,1
1891,2855,93,80,52,64,4,2
1984,2855,93,80,52,64,4,3
2077,2855,93,80,52,64,4,4
2170,2855,93,80,52,64,4,5
2263,2855,93,80,52,64,4,6
2356,2855,93,80,52,64,4,7
2449,2855,93,80,52,64,4,8
2542,2855,93,80,52,64,4,9
2635,2855,93,80,52,64,4,10
2728,2855,93,80,52,64,4,11
2821,2855,93,80,52,64,4,12
2914,2855,93,80,52,64,4,13
3007,2855,93,80,52,64,4,14
3100,2855,93,80,52,64,4,15
1202,3452,58,64,27,51,5,0
1144,3452,58,64,27,51,5,1
2839,3453,58,64,27,51,5,2
1028,3452,58,64,27,51,5,3
1086,3452,58,64,27,51,5,4
1260,3452,58,64,27,51,5,5
1318,3452,58,64,27,51,5,6
1376,3452,58,64,27,51,5,7
2897,3453,58,64,27,51,5,8
2955,3453,58,64,27,51,5,9
2781,3453,58,64,27,51,5,10
2723,3453,58,64,27,51,5,11
2665,3453,58,64,27,51,5,12
1888,3452,58,64,27,51,5,13
1830,3452,58,64,27,51,5,14
1434,3452,58,64,27,51,5,15
2865,1326,134,128,68,92,6,0
2999,1326,134,128,68,92,6,1
3133,1326,134,128,68,92,6,2
3267,1326,134,128,68,92,6,3
134,1328,134,128,68,92,6,4
268,1328,134,128,68,92,6,5
402,1328,134,128,68,92,6,6
536,1328,134,128,68,92,6,7
670,1328,134,128,68,92,6,8
804,1328,134,128,68,92,6,9
938,1328,134,128,68,92,6,10
1072,1328,134,128,68,92,6,11
1206,1328,134,128,68,92,6,12
1340,1328,134,128,68,92,6,13
1474,1328,134,128,68,92,6,14
1608,1328,134,128,68,92,6,15
1742,1328,134,128,68,92,6,16
1876,1328,134,128,68,92,6,17
2010,1328,134,128,68,92,6,18
2144,1328,134,128,68,92,6,19
2278,1328,134,128,68,92,6,20
2412,1328,134,128,68,92,6,21
0,1345,134,128,68,92,6,22
3401,1406,134,128,68,92,6,23
3535,1406,134,128,68,92,6,24
3669,1432,134,128,68,92,6,25
3803,1432,134,128,68,92,6,26
3937,1432,134,128,68,92,6,27
2546,1454,134,128,68,92,6,28
0,1217,134,128,68,92,6,29
2814,1454,134,128,68,92,6,30
2948,1454,134,128,68,92,6,31
3082,1454,134,128,68,92,6,32
3216,1454,134,128,68,92,6,33
134,1456,134,128,68,92,6,34
268,1456,134,128,68,92,6,35
402,1456,134,128,68,92,6,36
536,1456,134,128,68,92,6,37
670,1456,134,128,68,92,6,38
804,1456,134,128,68,92,6,39
938,1456,134,128,68,92,6,40
1072,1456,134,128,68,92,6,41
1206,1456,134,128,68,92,6,42
1340,1456,134,128,68,92,6,43
1474,1456,134,128,68,92,6,44
1608,1456,134,128,68,92,6,45
2680,1454,134,128,68,92,6,46
2731,1326,134,128,68,92,6,47
2597,1326,134,128,68,92,6,48
3833,1304,134,128,68,92,6,49
3699,1304,134,128,68,92,6,50
3565,1278,134,128,68,92,6,51
3431,1278,134,128,68,92,6,52
159,3452,79,65,49,54,7,0
949,3452,79,65,49,54,7,1
238,3452,79,65,49,54,7,2
317,3452,79,65,49,54,7,3
396,3452,79,65,49,54,7,4
475,3452,79,65,49,54,7,5
554,3452,79,65,49,54,7,6
633,3452,79,65,49,54,7,7
712,3452,79,65,49,54,7,8
791,3452,79,65,49,54,7,9
870,3452,79,65,49,54,7,10
2144,2692,97,83,54,59,8,0
2532,2692,97,83,54,59,8,1
