spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
0,0,62,153,25,151,3000,9
63,0,120,140,0,0,9000,1
184,0,116,135,13,34,3000,12
301,0,114,131,100,27,3000,13
416,0,131,124,13,70,3000,10
548,0,133,115,118,113,3000,8
682,0,43,99,19,97,3000,1
726,0,65,90,13,34,3000,4
792,0,106,88,91,86,3000,7
899,0,69,82,55,27,3000,5
969,0,81,70,66,68,3000,0
1051,0,98,69,13,43,3000,2
1150,0,75,69,30,54,3052,6
1226,0,61,66,12,61,3052,7
1288,0,159,62,13,39,3000,11
1448,0,148,62,134,31,3000,14
1597,0,75,58,40,44,3052,5
1673,0,66,56,41,39,3052,4
1740,0,41,55,9,50,306,4
1782,0,66,54,41,37,3052,3
1849,0,34,53,18,53,306,9
1884,0,28,53,14,44,3052,8
1913,0,34,52,21,49,306,5
1948,0,44,51,30,37,3052,2
0,154,115,49,101,25,3000,15
116,154,26,47,12,45,305,6
143,154,28,47,15,45,305,7
172,154,45,45,22,33,411,2
218,154,91,44,77,25,3000,16
310,154,44,43,23,29,190,0
355,154,44,43,23,29,190,1
400,154,40,43,11,41,305,5
441,154,43,42,28,42,306,8
485,154,91,42,77,25,3000,6
577,154,42,42,30,40,3051,13
620,154,37,41,24,39,305,1
658,154,21,41,12,43,602,3
680,154,21,41,11,47,1001,4
702,154,42,41,30,39,3051,21
745,154,37,41,24,39,3052,0
783,154,37,41,24,39,3052,1
821,154,44,40,31,38,3051,10
866,154,42,40,30,38,3051,12
909,154,52,39,13,34,306,3
962,154,21,39,11,26,603,4
984,154,22,39,12,26,603,5
1007,154,21,39,11,26,603,8
1029,154,105,39,13,31,3000,3
1135,154,44,39,31,37,3051,11
1180,154,44,39,31,37,3051,18
1225,154,42,39,30,37,3051,20
1268,154,42,39,30,37,3051,25
1311,154,34,38,18,20,306,0
1346,154,29,38,13,20,306,1
1376,154,21,38,11,25,603,2
1398,154,20,38,10,25,603,3
1419,154,21,38,11,25,603,6
1441,154,20,38,10,25,603,7
1462,154,23,38,13,26,603,9
1486,154,42,38,30,36,3051,9
1529,154,44,38,31,36,3051,19
1574,154,42,37,30,35,3051,8
1617,154,42,37,30,35,3051,17
1660,154,44,37,31,35,3051,22
1705,154,42,37,30,35,3051,24
1748,154,44,36,31,34,3051,5
1793,154,42,36,30,34,3051,16
1836,154,44,36,31,34,3051,23
1881,154,45,35,11,31,306,10
1927,154,42,35,30,33,3051,7
1970,154,21,34,10,33,195,2
1992,154,43,34,12,20,306,2
0,204,44,34,31,32,3051,2
45,204,44,34,31,32,3051,4
90,204,42,34,30,32,3051,6
133,204,44,34,31,32,3051,15
178,204,36,33,22,20,305,3
215,204,24,33,13,25,603,1
240,204,44,33,31,31,3051,3
285,204,44,33,31,31,3051,14
330,204,30,32,14,31,47,4
361,204,30,32,14,31,47,5
392,204,51,32,36,30,306,6
444,204,21,32,10,31,802,4
466,204,21,32,10,31,803,2
488,204,21,32,10,33,803,4
510,204,42,32,30,30,3051,1
553,204,30,31,14,30,47,0
584,204,30,31,14,30,47,1
615,204,31,31,14,30,47,2
647,204,33,31,16,30,47,3
681,204,48,31,12,20,202,4
730,204,42,31,30,29,305,0
773,204,29,31,14,34,602,2
803,204,31,31,19,33,602,4
835,204,23,31,12,30,804,1
859,204,23,31,12,30,804,2
883,204,29,31,13,36,1001,3
913,204,42,31,30,29,3051,0
956,204,25,30,12,29,195,1
982,204,47,30,12,21,202,3
1030,204,28,30,13,29,411,4
1059,204,31,30,20,32,602,5
1091,204,31,30,19,32,1001,6
1123,204,28,29,13,28,411,5
1152,204,24,29,12,26,601,0
1177,204,25,28,11,27,190,3
1203,204,28,28,13,27,190,4
1232,204,28,28,13,27,190,8
1261,204,25,28,12,27,190,9
1287,204,25,28,12,27,190,11
1313,204,28,28,14,28,190,12
1342,204,28,28,13,28,190,16
1371,204,25,28,12,27,190,17
1397,204,29,28,14,27,195,0
1427,204,35,28,15,27,602,1
1463,204,29,28,18,26,1000,3
1493,204,50,28,17,25,3000,17
1544,204,28,28,14,25,5030,10
1573,204,28,28,14,25,5030,30
1602,204,28,28,14,25,5030,50
1631,204,28,28,14,25,5030,70
1660,204,28,28,11,12,5031,10
1689,204,28,28,11,12,5031,50
1718,204,28,28,-1,-2,5032,10
1747,204,28,28,-1,-2,5032,50
1776,204,24,27,10,26,177,5
1801,204,29,27,13,26,177,6
1831,204,27,27,10,26,177,7
1859,204,48,27,12,25,202,2
1908,204,29,27,14,25,301,0
1938,204,31,27,15,25,301,1
1970,204,31,27,15,25,301,2
2002,204,31,27,15,25,301,3
0,239,31,27,15,25,301,4
32,239,31,27,15,25,301,5
64,239,31,27,16,25,301,6
96,239,49,27,36,28,306,7
146,239,32,27,19,26,307,0
179,239,32,27,19,26,307,1
212,239,27,27,14,26,307,2
240,239,33,27,16,27,602,0
274,239,25,27,14,27,602,6
300,239,22,27,11,26,801,0
323,239,22,27,10,26,803,5
346,239,33,27,12,26,1000,4
380,239,30,27,12,26,1000,5
411,239,33,27,15,25,1001,1
445,239,25,27,13,25,1001,7
471,239,28,26,14,25,176,4
500,239,26,26,12,24,301,7
527,239,23,26,11,14,600,0
551,239,27,26,12,26,601,5
579,239,21,26,11,31,804,3
601,239,26,26,14,15,5315,1
628,239,22,25,11,26,41,4
651,239,24,25,13,27,41,5
676,239,21,25,9,24,177,2
698,239,28,25,13,26,190,5
727,239,28,25,12,25,190,7
756,239,28,25,15,26,190,13
785,239,28,25,14,26,190,15
814,239,30,25,14,22,196,0
845,239,45,25,31,21,305,2
891,239,21,25,9,26,601,3
913,239,24,25,11,25,601,6
938,239,25,25,10,26,804,0
964,239,27,25,14,24,1000,2
992,239,31,25,13,24,1000,6
1024,239,10,25,5,24,1002,0
1035,239,24,25,13,24,5120,1
1060,239,22,25,11,24,5120,2
1083,239,25,25,0,0,9000,0
1109,239,24,24,12,22,0,3
1134,239,23,24,11,22,0,4
1158,239,24,24,11,22,0,5
1183,239,24,24,12,23,41,0
1208,239,25,24,13,24,41,7
1234,239,27,24,14,24,41,8
1262,239,23,24,11,14,70,0
1286,239,23,24,13,17,70,2
1310,239,30,24,15,23,100,0
1341,239,26,24,13,23,176,6
1368,239,21,24,9,23,177,0
1390,239,21,24,9,23,177,1
1412,239,21,24,9,23,177,3
1434,239,21,24,9,23,177,4
1456,239,24,24,11,24,190,2
1481,239,24,24,11,25,190,6
1506,239,24,24,11,25,190,10
1531,239,24,24,11,26,190,14
1556,239,24,24,11,22,196,3
1581,239,27,24,15,23,215,0
1609,239,29,24,15,22,300,4
1639,239,26,24,12,22,301,8
1666,239,28,24,13,22,411,1
1695,239,31,24,9,24,601,4
1727,239,23,24,10,23,802,0
1751,239,23,24,10,24,802,1
1775,239,27,24,10,27,802,2
1803,239,27,24,12,22,803,0
1831,239,26,24,13,23,1000,1
1858,239,24,24,12,24,5000,0
1883,239,24,24,12,24,5000,10
1908,239,24,24,12,24,5000,20
1933,239,24,24,11,12,5001,0
1958,239,24,24,11,12,5001,10
1983,239,24,24,11,12,5001,20
2008,239,24,24,-1,-2,5002,0
0,267,24,24,-1,-2,5002,10
25,267,24,24,-1,-2,5002,20
50,267,24,24,12,23,5030,0
75,267,24,24,12,23,5030,20
100,267,24,24,12,23,5030,40
125,267,24,24,12,23,5030,60
150,267,24,24,11,12,5031,20
175,267,24,24,11,12,5031,40
200,267,24,24,-1,-2,5032,20
225,267,24,24,-1,-2,5032,40
250,267,24,24,12,23,5040,0
275,267,23,24,14,23,5040,20
299,267,24,24,11,12,5041,0
324,267,24,24,-1,-2,5042,0
349,267,24,24,12,23,5060,0
374,267,24,24,12,23,5060,10
399,267,24,24,11,12,5061,0
424,267,24,24,-1,-2,5062,0
449,267,24,24,11,24,5070,0
474,267,28,24,12,25,5070,10
503,267,24,24,10,25,5070,20
528,267,24,24,12,13,5315,0
553,267,25,23,13,21,0,2
579,267,24,23,11,21,0,6
604,267,26,23,13,22,20,2
631,267,26,23,12,22,20,7
658,267,27,23,13,23,41,1
686,267,24,23,14,14,70,1
711,267,24,23,11,16,70,3
736,267,23,23,12,22,100,1
760,267,22,23,11,22,100,3
783,267,23,23,11,22,100,4
807,267,22,23,11,22,100,5
830,267,23,23,12,22,100,7
854,267,24,23,12,20,120,0
879,267,32,23,15,20,196,1
912,267,30,23,15,22,215,2
943,267,30,23,15,22,215,3
974,267,21,23,8,22,240,1
996,267,37,23,10,22,240,2
1034,267,25,23,6,22,240,3
1060,267,21,23,9,22,240,4
1082,267,22,23,12,22,240,5
1105,267,27,23,13,21,300,2
1133,267,28,23,14,21,300,3
1162,267,26,23,14,21,301,9
1189,267,51,23,11,19,305,4
1241,267,24,23,11,20,306,11
1266,267,24,23,13,22,410,0
1291,267,22,23,10,25,601,1
1314,267,19,23,8,24,604,0
1334,267,19,23,10,24,604,1
1354,267,35,23,23,24,604,2
1390,267,26,23,12,21,800,0
1417,267,23,23,11,22,1340,0
1441,267,23,23,11,22,1340,1
1465,267,23,23,11,22,1340,3
1489,267,23,23,11,22,1340,4
1513,267,23,23,11,22,1340,5
1537,267,22,23,10,22,1340,6
1560,267,23,23,11,22,1340,7
1584,267,27,23,12,22,5010,0
1612,267,27,23,13,22,5120,5
1640,267,23,23,11,22,5120,6
1664,267,25,22,13,20,0,0
1690,267,25,22,13,20,0,1
1716,267,23,22,11,20,0,7
1740,267,24,22,12,20,0,8
1765,267,24,22,11,20,0,9
1790,267,24,22,11,20,0,10
1815,267,24,22,11,20,0,11
1840,267,27,22,13,19,0,12
