spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
4068,1694,25,25,0,1,9000,0
4068,1719,12,25,0,1,9000,2
1248,1279,96,96,0,0,9000,10
3384,1983,72,72,34,70,0,0
3312,1983,72,72,34,70,0,1
3240,1983,72,72,34,70,0,2
3168,1983,72,72,34,70,0,3
3960,1982,72,72,34,70,0,4
3888,1982,72,72,34,70,0,5
3816,1982,72,72,34,70,0,6
3744,1982,72,72,34,70,0,7
3672,1982,72,72,34,70,0,8
3600,1982,72,72,34,70,0,9
3024,1977,72,72,34,70,0,10
2952,1977,72,72,34,70,0,11
2880,1977,72,72,34,70,0,12
2808,1977,72,72,34,70,1,0
2736,1977,72,72,34,70,1,1
2664,1977,72,72,34,70,1,2
2592,1977,72,72,34,70,2,0
2520,1977,72,72,34,70,2,1
2448,1977,72,72,34,70,2,2
432,1918,72,72,34,70,2,3
360,1918,72,72,34,70,2,4
288,1918,72,72,34,70,2,5
216,1918,72,72,34,70,2,6
144,1918,72,72,34,70,2,7
72,1918,72,72,39,70,3,0
0,1918,72,72,39,70,3,1
2376,1914,72,72,39,70,3,2
2304,1914,72,72,39,70,3,3
2232,1914,72,72,39,70,3,4
2160,1914,72,72,39,70,3,5
2088,1914,72,72,39,70,3,6
2016,1914,72,72,39,70,3,7
1944,1914,72,72,39,71,4,0
1872,1914,72,72,39,70,4,1
1800,1914,72,72,41,70,4,2
1728,1914,72,72,39,70,4,3
1656,1914,72,72,39,70,4,4
1584,1914,72,72,38,68,4,5
1512,1914,72,72,40,71,4,6
1440,1914,72,72,41,70,4,7
1368,1914,72,72,41,70,4,8
1296,1914,72,72,41,70,4,9
1224,1914,72,72,36,71,5,0
1152,1914,72,72,36,71,5,1
3384,1911,72,72,36,71,5,2
3312,1911,72,72,36,71,5,3
3240,1911,72,72,34,70,6,0
3168,1911,72,72,34,70,6,1
3960,1910,72,72,34,70,6,2
3888,1910,72,72,34,70,6,3
3816,1910,72,72,34,70,6,4
3744,1910,72,72,34,70,6,5
3672,1910,72,72,34,70,6,6
3600,1910,72,72,34,70,6,7
3528,1910,72,72,34,70,6,8
3456,1910,72,72,34,70,6,9
1080,1909,72,72,34,70,6,10
1008,1909,72,72,36,65,7,0
936,1909,72,72,36,65,7,1
864,1909,72,72,36,65,7,2
792,1909,72,72,47,64,7,3
720,1909,72,72,47,64,7,4
648,1909,72,72,47,64,7,5
576,1909,72,72,38,66,7,6
504,1909,72,72,38,66,7,7
3096,1905,72,72,38,66,7,8
3024,1905,72,72,27,68,7,9
0,1846,72,72,27,68,7,10
2376,1842,72,72,27,68,7,11
2304,1842,72,72,36,70,7,12
2232,1842,72,72,36,70,7,13
2160,1842,72,72,36,70,7,14
2088,1842,72,72,36,70,7,15
2016,1842,72,72,39,70,7,16
1944,1842,72,72,42,70,7,17
1872,1842,72,72,34,68,7,18
1800,1842,72,72,34,70,7,19
1728,1842,72,72,32,66,7,20
1656,1842,72,72,38,70,8,0
1584,1842,72,72,41,69,8,1
1512,1842,72,72,42,69,8,2
1440,1842,72,72,43,69,8,3
1368,1842,72,72,43,69,8,4
1296,1842,72,72,43,69,8,5
1224,1842,72,72,35,70,9,0
1152,1842,72,72,36,70,9,1
3384,1839,72,72,34,70,9,2
3312,1839,72,72,34,70,9,3
3240,1839,72,72,34,70,9,4
3168,1839,72,72,33,70,9,5
3960,1838,72,72,35,70,9,6
3888,1838,72,72,35,70,9,7
3816,1838,72,72,34,70,9,8
1296,1770,72,72,35,72,9,9
