spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
1162,1133,25,25,0,1,9000,0
803,1134,12,25,0,1,9000,2
2114,1166,37,11,-3,0,9000,10
2390,949,64,57,19,56,0,0
2078,951,58,57,16,56,0,1
2463,1006,57,56,15,55,0,2
3012,1005,60,56,15,55,0,3
1493,1025,63,55,16,54,0,4
3281,1004,64,56,17,55,0,5
2323,949,67,57,20,56,0,6
3430,947,64,57,19,56,0,7
3808,945,58,57,16,56,0,8
2349,1006,57,56,15,55,0,9
3221,947,70,57,21,56,1,0
3538,886,68,59,22,58,1,1
1303,910,69,58,23,57,1,2
3035,948,68,57,22,56,1,3
2898,948,69,57,21,56,1,4
3673,886,67,59,22,58,1,5
1372,910,69,58,23,57,1,6
3361,947,69,57,22,56,1,7
1452,968,53,57,39,56,1,8
0,914,52,58,39,57,1,9
3098,889,53,59,38,58,1,10
1070,968,55,57,38,56,1,11
1235,968,55,57,41,56,1,12
553,913,52,58,39,57,1,13
2553,890,51,59,37,58,1,14
1344,968,54,57,37,56,1,15
411,1027,63,55,40,55,2,0
2766,949,62,57,40,56,2,1
1896,947,63,57,42,56,2,2
1895,1004,64,56,44,55,2,3
892,1026,63,55,40,55,2,4
2951,1005,61,56,39,55,2,5
2828,949,62,57,41,56,2,6
2890,1005,61,56,41,55,2,7
472,1082,69,51,21,50,2,10
1389,1080,66,53,19,52,2,11
3799,1058,63,54,18,53,2,12
3072,1005,59,56,16,55,3,0
2050,1064,50,54,27,53,3,1
2263,1116,61,49,38,48,3,2
832,1133,68,47,44,46,3,3
66,1134,54,46,32,45,3,4
2606,1117,42,47,20,46,3,5
643,1081,41,53,18,52,3,6
1304,1025,41,56,16,55,3,7
2149,1064,48,54,30,53,4,0
1759,1080,48,53,33,52,4,1
1807,1080,48,53,32,52,4,2
3313,1114,49,50,32,49,4,3
2055,1118,54,48,39,47,4,4
2109,1118,52,48,37,47,4,5
2211,1063,52,54,35,52,4,6
1563,1133,75,46,23,47,5,0
3180,1114,71,50,18,49,5,1
2650,1116,71,48,18,47,5,2
390,1133,71,47,18,46,5,3
832,1081,78,52,26,51,5,4
3727,1002,69,56,28,55,5,5
1773,784,72,64,28,58,6,0
1622,784,79,64,35,58,6,1
1701,784,72,64,28,58,6,2
1019,910,73,58,22,59,6,3
3227,1060,89,54,38,58,6,4
3495,945,81,57,42,57,6,5
2015,751,56,78,27,76,6,6
2524,750,57,78,28,76,6,7
2338,750,50,80,21,78,6,8
2148,893,83,58,34,58,6,9
84,855,74,59,29,59,6,10
3540,823,63,63,21,60,6,11
3603,823,61,63,19,60,6,12
3664,823,60,63,18,60,6,13
1345,1025,75,55,26,59,6,14
3316,1060,89,54,38,58,6,15
3576,945,81,57,42,57,6,16
3347,825,54,63,22,59,6,17
3724,823,54,63,22,59,6,18
3778,823,54,63,22,59,6,19
2967,948,68,57,23,58,6,20
2280,1062,79,54,31,58,6,21
