spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
3264,1744,96,96,30,90,0,0
3168,1744,96,96,30,90,0,1
3072,1737,96,96,30,90,0,2
2976,1737,96,96,30,90,0,3
2880,1737,96,96,30,90,0,4
2784,1737,96,96,30,90,0,5
2688,1737,96,96,30,90,0,6
2592,1737,96,96,30,90,0,7
2496,1737,96,96,30,90,0,8
2400,1737,96,96,30,89,5,10
2304,1737,96,96,32,95,5,0
2208,1737,96,96,32,95,5,1
2112,1737,96,96,32,95,5,2
2016,1737,96,96,27,94,5,5
1920,1737,96,96,27,94,5,6
1824,1737,96,96,27,94,5,7
1728,1737,96,96,46,89,4,0
1632,1737,96,96,43,89,4,1
576,1664,96,96,38,88,4,2
480,1664,96,96,34,96,4,3
384,1664,96,96,33,102,4,4
288,1664,96,96,32,103,4,5
192,1664,96,96,35,102,4,6
96,1664,96,96,31,101,4,7
0,1664,96,96,29,91,4,8
1536,1649,96,96,25,89,4,9
1440,1649,96,96,22,89,4,10
1344,1649,96,96,22,89,4,11
1248,1649,96,96,28,94,2,0
1152,1649,96,96,29,94,2,1
1056,1649,96,96,29,94,2,2
960,1649,96,96,28,85,2,3
864,1649,96,96,28,85,2,4
768,1649,96,96,28,85,2,5
672,1649,96,96,28,85,2,6
3936,1648,96,96,28,87,2,7
3840,1648,96,96,28,88,2,8
3744,1648,96,96,28,90,2,9
3648,1648,96,96,28,93,2,10
3552,1648,96,96,28,93,2,11
3456,1648,96,96,28,85,2,12
3360,1648,96,96,28,85,2,13
3264,1648,96,96,28,85,2,14
320,2272,64,64,30,63,1,0
3168,1648,96,96,29,94,3,0
3072,1641,96,96,29,94,3,1
2976,1641,96,96,29,94,3,2
2880,1641,96,96,29,94,3,3
2784,1641,96,96,29,94,3,4
2688,1641,96,96,29,94,3,5
2592,1641,96,96,29,94,3,6
2496,1641,96,96,29,94,3,7
2400,1641,96,96,29,94,3,8
2304,1641,96,96,29,94,3,9
2208,1641,96,96,27,94,1,1
2112,1641,96,96,27,94,1,2
2016,1641,96,96,27,94,1,3
1920,1641,96,96,27,94,1,4
1824,1641,96,96,27,94,1,5
1728,1641,96,96,28,94,1,6
0,0,120,140,0,0,9000,1
1632,1641,96,96,32,90,0,10
576,1568,96,96,32,90,0,11
480,1568,96,96,32,90,0,12
384,1568,96,96,32,90,0,13
288,1568,96,96,32,90,0,14
192,1568,96,96,32,90,0,15
96,1568,96,96,32,90,0,16
0,1568,96,96,32,90,0,17
1536,1553,96,96,30,95,0,20
1440,1553,96,96,30,95,0,21
1344,1553,96,96,30,95,0,22
1248,1553,96,96,30,95,0,23
1152,1553,96,96,30,95,0,24
1056,1553,96,96,30,95,0,25
960,1553,96,96,30,95,0,26
864,1553,96,96,30,88,50,1
768,1553,96,96,30,88,50,2
672,1553,96,96,30,88,50,3
3936,1552,96,96,28,88,50,4
3840,1552,96,96,28,88,50,5
3744,1552,96,96,28,88,50,6
3648,1552,96,96,27,91,50,8
3552,1552,96,96,27,91,50,9
3456,1552,96,96,27,91,50,10
3360,1552,96,96,32,94,50,20
3264,1552,96,96,32,91,50,21
3168,1552,96,96,40,92,50,22
3072,1545,96,96,30,88,50,50
2976,1545,96,96,27,88,50,51
2880,1545,96,96,27,91,50,52
3949,2128,94,69,7,61,20,0
2784,1545,96,96,33,60,51,0
