spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
0,0,1409,1164,871,567,7888,3
1412,0,1409,1164,871,567,7889,3
2824,0,1408,1158,872,565,7888,4
4235,0,1408,1158,872,565,7889,4
5646,0,1407,1154,873,563,7888,5
0,1167,1407,1154,873,563,7889,5
1410,1167,1401,1143,873,556,7888,6
2814,1167,1401,1143,873,556,7889,6
4218,1167,1400,1137,873,555,7888,7
5621,1167,1400,1137,873,555,7889,7
0,2324,1394,1129,872,550,7888,8
1397,2324,1394,1129,872,550,7889,8
2794,2324,1382,1111,871,538,7888,10
4179,2324,1383,1111,872,538,7888,11
5565,2324,1383,1111,872,538,7888,12
0,3456,1382,1111,871,538,7889,10
1385,3456,1383,1111,872,538,7889,11
2771,3456,1383,1111,872,538,7889,12
4157,3456,1383,1109,871,539,7888,9
5543,3456,1383,1109,871,539,7889,9
6929,3456,201,604,48,301,72,7
0,4570,188,564,45,281,72,6
191,4570,175,524,42,261,72,5
369,4570,166,496,40,247,72,4
538,4570,451,472,220,248,7888,2
992,4570,451,472,220,248,7889,2
1446,4570,152,454,37,226,72,3
1601,4570,274,447,124,209,6973,10
1878,4570,377,442,240,207,6973,9
2258,4570,426,433,243,203,6973,8
2687,4570,478,424,239,199,6973,7
3168,4570,473,414,237,194,6973,6
3644,4570,138,413,33,206,72,2
3785,4570,294,410,128,171,6973,11
4082,4570,366,375,162,216,6973,14
4451,4570,124,372,30,185,72,1
4578,4570,341,365,176,169,6973,0
4922,4570,219,357,99,166,6972,10
5144,4570,301,353,191,165,6972,9
5448,4570,343,350,152,200,6973,13
5794,4570,327,346,187,22,9000,2
6124,4570,340,346,194,162,6972,8
6467,4570,382,339,191,159,6972,7
6852,4570,333,334,166,166,7888,1
0,5137,333,334,166,166,7889,1
336,5137,111,331,27,165,72,0
450,5137,378,331,190,155,6972,6
831,5137,462,330,231,155,6973,5
1296,5137,236,328,103,137,6972,11
1535,5137,307,328,148,180,6973,1
1845,5137,320,327,138,185,6973,12
2168,5137,293,301,130,173,6972,14
2464,5137,272,292,142,135,6972,0
2739,5137,353,291,176,137,6973,2
3095,5137,275,280,122,160,6972,13
3373,5137,224,264,143,123,6971,9
3600,5137,369,264,185,123,6972,5
3972,5137,165,263,76,120,6971,10
4140,5137,244,262,119,143,6972,1
4387,5137,256,262,111,148,6972,12
4646,5137,253,259,146,121,6971,8
4902,5137,443,255,222,139,6973,3
5348,5137,285,253,144,118,6971,7
5636,5137,283,246,143,115,6971,6
5922,5137,178,245,79,102,6971,11
6103,5137,452,245,226,115,6973,4
6558,5137,752,244,379,122,7888,13
0,5474,816,244,429,122,7888,15
819,5474,752,244,379,122,7889,13
1574,5474,816,244,429,122,7889,15
2393,5474,791,243,403,122,7888,14
3187,5474,876,243,455,122,7888,16
4066,5474,791,243,403,122,7889,14
4860,5474,876,243,455,122,7889,16
5739,5474,281,233,140,110,6972,2
6023,5474,220,226,99,130,6971,14
6246,5474,203,218,106,101,6971,0
6452,5474,207,211,93,120,6971,13
6662,5474,353,202,177,109,6972,3
0,5721,604,201,301,153,62,7
607,5721,192,197,84,111,6971,12
802,5721,277,196,140,92,6971,5
1082,5721,362,196,181,92,6972,4
1447,5721,182,195,88,106,6971,1
1632,5721,564,188,281,143,62,6
2199,5721,67,179,36,178,7697,8
2269,5721,67,179,36,178,7697,9
2339,5721,67,179,36,178,7697,10
2409,5721,67,179,36,178,7697,11
2479,5721,67,179,36,178,7697,12
2549,5721,148,176,92,82,6970,9
2700,5721,524,175,261,133,62,5
3227,5721,110,174,49,79,6970,10
3340,5721,210,174,106,82,6971,2
3553,5721,167,171,95,79,6970,8
3723,5721,190,168,95,78,6970,7
3916,5721,67,167,36,166,7697,7
3986,5721,496,166,247,126,62,4
4485,5721,187,164,93,76,6970,6
4675,5721,118,163,51,68,6970,11
4796,5721,159,153,78,78,7888,0
4958,5721,159,153,78,78,7889,0
5120,5721,454,152,226,115,62,3
5577,5721,67,151,36,150,7697,13
5647,5721,147,151,65,86,6970,14
5797,5721,264,150,132,81,6971,3
6064,5721,68,148,36,147,7697,6
6135,5721,115,147,15,115,1660,10
6253,5721,68,147,36,146,7697,5
6324,5721,271,146,137,68,6971,4
6598,5721,111,145,15,114,1660,9
6712,5721,136,144,71,66,6970,0
6851,5721,67,143,36,142,7697,4
6921,5721,138,141,61,80,6970,13
7062,5721,120,140,0,0,9000,1
7185,5721,120,140,0,0,9000,3
0,5925,109,140,15,111,1660,8
112,5925,75,140,44,139,7697,1
190,5925,67,138,36,137,7697,0
260,5925,67,138,36,137,7697,3
330,5925,413,138,206,105,62,2
746,5925,108,136,15,109,1660,7
857,5925,128,132,55,74,6970,12
988,5925,122,130,59,70,6970,1
1113,5925,183,130,91,60,6970,5
1299,5925,75,127,34,125,1500,4
1377,5925,67,127,36,126,7697,2
1447,5925,106,125,15,101,1660,6
1556,5925,372,124,185,94,62,1
1931,5925,89,123,49,121,180,11
2023,5925,88,122,49,120,180,10
2114,5925,135,122,72,121,420,3
2252,5925,135,122,72,121,420,4
2390,5925,67,122,44,120,1500,7
2460,5925,122,121,72,120,420,5
2585,5925,65,120,40,119,420,0
2653,5925,85,119,49,117,180,9
2741,5925,66,119,10,118,210,3
2810,5925,83,119,39,117,1500,6
2896,5925,62,119,43,119,1505,4
2961,5925,92,118,63,117,420,1
3056,5925,95,118,72,117,420,6
3154,5925,63,118,32,118,620,4
3220,5925,166,118,60,109,1000,7
3389,5925,163,118,63,109,1000,8
3555,5925,150,117,41,101,1000,5
3708,5925,153,117,64,109,1000,9
3864,5925,116,117,6,115,1600,10
3983,5925,114,116,6,114,1600,9
4100,5925,114,115,5,114,210,9
4217,5925,96,115,6,115,630,4
4316,5925,89,115,52,113,1500,5
4408,5925,56,114,34,112,180,2
4467,5925,126,114,4,113,210,8
4596,5925,106,114,-3,113,1605,3
4705,5925,104,114,15,93,1660,5
4812,5925,114,114,57,87,10000,9
4929,5925,114,114,57,89,10000,10
5046,5925,114,114,57,89,10000,11
5163,5925,138,114,69,54,6970,2
5304,5925,66,113,15,115,630,3
5373,5925,130,113,6,111,1600,8
5506,5925,52,112,34,110,180,5
5561,5925,105,112,22,111,1605,4
5669,5925,143,111,5,110,210,7
5815,5925,148,111,41,102,1000,6
5966,5925,139,111,11,109,1600,7
6108,5925,123,111,0,110,1605,2
6234,5925,108,111,54,55,6150,0
6345,5925,331,111,165,84,62,0
6679,5925,146,110,65,108,1000,10
6828,5925,110,110,55,85,10000,8
6941,5925,147,109,5,108,210,6
7091,5925,137,109,10,108,1605,1
0,6068,106,106,53,83,10000,7
109,6068,115,105,25,105,630,5
227,6068,48,104,24,52,6153,1
278,6068,74,103,49,101,180,12
355,6068,74,103,49,101,180,13
432,6068,140,103,12,101,1600,6
575,6068,71,102,53,100,180,4
649,6068,74,102,49,100,180,8
726,6068,46,102,13,100,260,1
775,6068,48,102,19,100,260,2
826,6068,128,102,76,53,6150,2
957,6068,102,102,51,83,10000,6
1062,6068,147,101,5,100,210,5
1212,6068,149,101,11,100,1605,0
1364,6068,117,101,75,52,6150,3
1484,6068,66,100,48,98,180,6
1553,6068,75,100,29,85,5030,40
1631,6068,51,100,22,98,260,3
1685,6068,175,99,87,53,6970,3
1863,6068,36,98,12,97,101,0
1902,6068,46,98,18,97,101,1
1951,6068,49,98,21,97,101,2
2003,6068,60,98,39,96,1600,2
2066,6068,101,98,36,96,1600,3
2170,6068,98,98,49,81,10000,5
2271,6068,40,97,16,96,101,5
2314,6068,80,97,44,89,5070,0
2397,6068,45,97,18,95,260,4
2445,6068,95,97,72,96,420,7
2543,6068,113,97,56,95,1000,11
2659,6068,126,97,72,54,6150,1
2788,6068,180,97,90,45,6970,4
2971,6068,48,96,22,95,101,3
3022,6068,110,96,54,98,1000,12
3135,6068,45,95,23,94,101,4
3183,6068,144,95,12,93,1600,5
3330,6068,77,93,55,91,180,3
3410,6068,151,93,5,92,210,4
3564,6068,148,92,42,87,1000,4
3715,6068,87,92,19,90,1500,3
3805,6068,91,92,21,90,1600,4
3899,6068,101,92,36,96,1660,3
4003,6068,84,91,10,91,620,1
4090,6068,115,91,25,91,630,6
4208,6068,97,91,15,91,1505,1
4308,6068,81,90,53,88,180,7
4392,6068,60,90,39,96,1660,2
4455,6068,90,90,45,77,10000,4
4548,6068,41,89,19,87,180,16
4592,6068,41,89,19,87,180,17
4636,6068,41,89,19,87,180,18
4680,6068,41,89,19,87,180,19
4724,6068,41,89,19,87,180,20
4768,6068,41,89,19,87,180,21
4812,6068,41,89,19,87,180,22
4856,6068,41,89,19,87,180,23
4900,6068,41,89,20,87,180,24
4944,6068,41,89,21,87,180,25
4988,6068,41,89,21,87,180,26
5032,6068,41,89,21,87,180,27
5076,6068,78,89,42,88,210,2
5157,6068,81,88,26,86,1650,0
5241,6068,31,88,17,43,6980,1
5275,6068,31,88,17,43,6980,0
5309,6068,41,87,18,85,180,15
5353,6068,58,87,38,94,1661,2
5414,6068,115,87,76,43,6150,4
5532,6068,78,86,50,86,630,2
5613,6068,91,86,21,90,1660,4
5707,6068,31,86,17,41,6980,4
5741,6068,33,85,12,84,182,2
5777,6068,33,85,12,84,182,3
5813,6068,33,85,12,84,182,4
5849,6068,33,85,12,84,182,5
5885,6068,30,85,17,84,190,1
5918,6068,33,85,19,84,190,2
5954,6068,93,85,11,85,620,2
6050,6068,92,85,11,85,620,3
6145,6068,105,85,15,85,1505,2
6253,6068,104,85,15,85,1505,3
6360,6068,108,85,76,43,6150,5
6471,6068,31,85,17,41,6980,3
6505,6068,30,85,16,40,6980,2
6538,6068,78,84,11,85,620,0
6619,6068,64,84,46,82,1600,1
6686,6068,81,83,20,81,1650,1
6770,6068,60,82,21,80,2,3
6833,6068,40,82,16,80,42,3
6876,6068,65,82,22,80,180,1
6944,6068,78,82,42,80,180,14
7025,6068,49,82,22,81,5030,0
7077,6068,46,82,14,81,5060,10
7126,6068,62,82,45,81,210,0
7191,6068,34,82,17,80,6152,4
7228,6068,82,82,41,73,10000,3
0,6177,28,82,16,40,6980,5
31,6177,63,81,20,79,2,2
97,6177,47,81,18,80,122,0
147,6177,47,81,31,37,5001,0
197,6177,47,81,22,17,5002,0
247,6177,47,81,31,37,5001,10
297,6177,47,81,22,17,5002,10
347,6177,47,81,33,75,5000,11
397,6177,47,81,33,75,5000,20
447,6177,47,81,31,37,5001,20
497,6177,47,81,22,17,5002,20
547,6177,47,81,33,75,5000,21
597,6177,47,81,33,75,5010,0
647,6177,47,81,31,37,5011,0
697,6177,47,81,22,17,5012,0
747,6177,47,81,33,75,5010,10
797,6177,47,81,31,37,5011,10
847,6177,47,81,22,17,5012,10
897,6177,47,81,33,75,5010,20
947,6177,47,81,31,37,5011,20
997,6177,47,81,22,17,5012,20
1047,6177,47,81,33,75,5010,21
1097,6177,47,81,33,75,5020,0
1147,6177,47,81,33,75,5020,10
1197,6177,47,81,33,75,5020,20
1247,6177,47,81,32,37,5031,0
1297,6177,47,81,32,18,5032,0
1347,6177,47,81,39,23,5031,10
1397,6177,47,81,19,13,5032,10
1447,6177,47,81,38,14,5031,20
1497,6177,47,81,18,14,5032,20
1547,6177,47,81,40,52,5030,30
1597,6177,47,81,38,14,5031,30
1647,6177,47,81,18,14,5032,30
1697,6177,47,81,40,52,5030,31
1747,6177,47,81,25,50,5031,40
1797,6177,47,81,15,69,5032,40
1847,6177,47,81,29,85,5030,50
1897,6177,47,81,25,50,5031,50
1947,6177,47,81,15,69,5032,50
1997,6177,47,81,38,23,5041,0
2047,6177,47,81,21,18,5042,0
2097,6177,47,81,42,27,5040,1
2147,6177,47,81,38,21,5041,10
2197,6177,47,81,21,16,5042,10
2247,6177,47,81,42,25,5040,20
2297,6177,47,81,38,21,5041,20
2347,6177,47,81,21,16,5042,20
2397,6177,47,81,22,81,5060,0
2447,6177,47,81,32,37,5061,0
2497,6177,47,81,32,18,5062,0
2547,6177,47,81,22,81,5060,1
2597,6177,47,81,15,44,5061,10
2647,6177,47,81,16,67,5062,10
2697,6177,47,81,54,48,5071,0
2747,6177,47,81,63,30,5072,0
2797,6177,47,81,48,35,5071,10
2847,6177,47,81,67,33,5072,10
2897,6177,47,81,48,53,5071,20
2947,6177,47,81,67,62,5072,20
2997,6177,79,81,24,79,260,5
3079,6177,62,81,19,80,650,2
3144,6177,92,81,15,81,1505,0
3239,6177,80,81,40,80,7990,0
3322,6177,63,80,27,79,0,29
3388,6177,76,80,26,78,2,1
3467,6177,97,80,48,81,5070,20
3567,6177,79,80,46,79,210,1
3649,6177,74,80,31,78,230,0
3726,6177,74,80,31,78,230,10
3803,6177,81,80,45,78,250,2
3887,6177,81,80,47,78,250,3
3971,6177,81,80,47,78,250,4
4055,6177,63,80,16,79,420,11
4121,6177,74,80,31,78,1500,0
4198,6177,57,80,34,78,1500,1
4258,6177,65,80,34,78,1500,8
4326,6177,74,80,31,78,1500,9
4403,6177,79,80,25,85,1661,3
4485,6177,72,80,14,72,1661,8
4560,6177,75,80,41,34,9108,6
4638,6177,65,80,23,73,9123,13
4706,6177,47,80,17,43,9125,10
4756,6177,80,80,40,74,6100,0
4839,6177,34,80,17,78,6152,5
4876,6177,29,80,16,37,6980,8
4908,6177,28,80,15,38,6980,7
4939,6177,75,79,28,77,0,0
5017,6177,75,79,26,77,0,5
5095,6177,75,79,26,77,0,6
5173,6177,75,79,27,77,0,7
5251,6177,75,79,28,77,0,8
5329,6177,75,79,29,76,0,9
5407,6177,75,79,26,77,0,13
5485,6177,75,79,26,77,0,14
5563,6177,75,79,27,77,0,15
5641,6177,75,79,28,77,1,0
5719,6177,75,79,27,77,1,1
5797,6177,77,79,30,77,1,2
5877,6177,80,79,32,77,1,3
5960,6177,80,79,31,77,1,4
6043,6177,80,79,31,77,1,5
6126,6177,80,79,31,77,1,6
6209,6177,80,79,31,77,1,7
6292,6177,80,79,31,77,1,8
6375,6177,80,79,31,77,1,9
6458,6177,80,79,31,77,1,10
6541,6177,80,79,31,77,1,11
6624,6177,80,79,31,77,1,12
6707,6177,80,79,31,77,1,13
6790,6177,80,79,31,77,1,14
6873,6177,80,79,31,77,1,15
6956,6177,80,79,31,77,1,16
7039,6177,80,79,31,77,1,17
7122,6177,80,79,31,77,1,18
7205,6177,80,79,32,77,1,19
0,6262,77,79,30,77,1,20
80,6262,75,79,27,77,1,21
158,6262,75,79,28,77,2,0
236,6262,77,79,30,77,170,0
316,6262,82,79,32,77,170,1
401,6262,73,79,23,77,170,2
477,6262,56,79,14,77,170,3
536,6262,82,79,30,77,180,0
621,6262,59,79,24,78,183,1
683,6262,59,79,24,78,183,2
745,6262,99,79,19,78,186,2
847,6262,99,79,19,78,186,3
949,6262,99,79,19,78,186,4
1051,6262,99,79,19,78,186,5
1153,6262,50,79,21,77,120,0
1206,6262,91,79,49,77,200,1
1300,6262,75,79,29,77,250,0
1378,6262,80,79,43,77,250,1
1461,6262,80,79,43,77,250,5
1544,6262,75,79,29,77,250,6
1622,6262,91,79,41,78,600,1
1716,6262,52,79,32,77,1500,2
1771,6262,74,79,28,77,1600,0
1848,6262,71,79,14,72,1661,5
1922,6262,72,79,14,71,1661,6
1997,6262,72,79,14,71,1661,7
2072,6262,73,79,14,73,1661,9
2148,6262,77,79,47,78,3001,0
2228,6262,47,79,27,23,9020,1
2278,6262,75,78,29,76,0,1
2356,6262,75,78,27,76,0,4
2434,6262,75,78,29,75,0,10
2512,6262,75,78,27,76,0,12
2590,6262,62,78,23,77,0,28
2655,6262,75,78,27,76,11,0
2733,6262,45,78,15,77,42,1
2781,6262,50,78,21,77,181,3
2834,6262,50,78,21,77,181,4
2887,6262,40,78,19,77,182,1
2930,6262,57,78,25,77,183,3
2990,6262,57,78,25,77,183,4
3050,6262,57,78,25,77,183,5
3110,6262,57,78,25,77,183,6
3170,6262,64,78,34,77,184,1
3237,6262,67,78,39,77,184,2
3307,6262,67,78,39,77,184,3
3377,6262,67,78,39,77,184,4
