spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
1311,1046,25,25,0,1,9000,0
952,1047,12,25,0,1,9000,2
1798,1070,40,11,0,0,9000,10
1012,905,35,50,18,49,0,0
1540,885,35,51,18,50,0,1
1468,885,36,51,19,50,0,2
2008,884,37,51,20,50,0,3
1504,885,36,51,19,50,0,4
1894,935,35,49,18,48,0,5
1999,935,35,49,18,48,0,6
1929,935,35,49,18,48,0,7
623,955,36,48,18,47,1,0
1468,936,35,49,17,48,1,1
1345,904,28,50,10,49,1,2
1268,853,30,52,13,51,1,3
1618,832,34,53,16,52,1,4
1575,885,30,51,12,50,1,5
1178,905,30,50,11,49,1,6
1964,935,35,49,16,48,1,7
99,915,47,49,21,48,1,8
1605,935,45,49,21,48,1,9
731,905,44,50,21,49,1,10
0,864,44,51,22,50,1,11
1391,841,47,52,23,51,1,12
1996,832,49,52,23,51,1,13
879,854,51,51,24,50,1,14
1664,885,51,50,23,49,1,15
273,963,35,47,18,46,2,0
736,1003,34,43,17,42,2,1
1346,1045,34,39,17,38,2,2
501,1046,33,38,16,37,2,3
567,1046,33,37,16,36,2,4
1570,936,29,49,11,48,3,0
1855,884,39,51,17,50,3,1
131,864,42,51,21,51,3,2
173,864,42,51,20,50,3,3
1537,936,33,49,15,48,3,4
510,855,42,51,19,50,3,5
1021,853,44,52,21,51,3,6
1775,884,40,51,19,50,3,7
939,905,38,50,18,49,3,8
35,964,33,47,11,46,4,0
1273,1002,39,44,16,43,4,1
209,1010,43,42,17,41,4,2
116,1011,42,41,16,40,4,3
727,955,33,48,14,47,4,4
585,955,38,48,18,47,5,0
1142,955,38,47,20,46,5,1
1922,984,38,46,21,45,5,2
1773,1030,41,40,24,39,5,3
1997,1030,43,39,26,38,5,4
457,1046,44,38,27,37,5,5
1932,884,38,51,20,49,5,6
1536,832,42,53,25,52,6,0
930,853,46,52,30,51,6,1
1894,884,38,51,20,50,6,2
1212,800,48,53,27,52,6,3
1164,800,48,53,29,52,6,4
68,964,33,47,12,46,6,5
836,1002,44,45,27,44,6,6
1528,985,49,45,33,44,6,7
1450,1030,38,41,20,40,6,8
976,853,45,52,25,51,6,9
146,915,46,49,28,50,6,10
1113,800,51,53,31,52,7,0
44,864,44,51,23,44,7,1
861,955,53,47,26,41,7,2
964,1046,61,33,30,40,7,3
342,1046,59,38,30,42,7,4
215,864,41,51,19,50,7,5
339,800,34,60,16,59,7,6
461,955,44,48,26,47,7,7
1587,1070,49,31,27,30,7,8
1025,1046,57,33,28,32,7,9
1952,1030,45,39,21,38,7,10
1103,955,39,47,21,45,8,0
600,1046,33,37,17,34,8,1
664,1046,31,36,17,34,8,2
1082,1046,37,33,20,34,8,3
916,1047,36,31,19,34,8,4
534,1046,33,37,16,37,8,5
633,1046,31,36,14,36,8,6
751,1046,37,33,17,33,8,7
1636,1070,36,31,17,31,8,8
0,964,35,47,18,46,9,0
308,1008,34,43,17,42,9,1
1814,1030,36,40,17,39,9,2
1391,1036,39,39,16,38,9,3
781,800,38,54,20,53,9,4
1115,905,33,50,17,51,9,5
238,963,35,47,17,50,9,6
923,1002,41,45,18,49,9,7
505,955,41,48,18,50,9,8
1996,984,35,46,14,48,9,9
134,964,32,47,13,48,9,10
693,955,34,48,14,48,9,11
930,800,62,53,31,52,9,12
964,955,50,47,24,46,9,13
1729,1030,44,40,20,42,9,14
1402,991,48,45,20,44,9,15
791,1002,45,45,20,44,9,16
880,1002,43,45,20,44,9,17
1348,800,43,53,14,51,10,0
1138,1002,46,44,17,47,10,1
1637,1030,46,40,21,45,10,2
192,915,46,49,24,54,10,3
256,914,53,49,26,57,10,4
0,915,52,49,24,60,10,5
1182,1078,58,28,29,25,10,6
695,1046,56,34,25,36,10,7
1672,1070,63,29,29,23,10,8
1493,1071,63,29,29,23,10,20
1119,1078,63,29,29,23,10,21
1735,1070,63,29,29,23,10,22
1430,1071,63,29,29,23,10,23
1817,935,40,49,21,48,11,0
1269,954,52,48,23,47,11,1
1059,955,44,47,18,46,11,2
659,955,34,48,16,47,11,3
1192,853,38,52,15,51,11,4
304,800,35,62,16,61,11,5
1534,384,41,67,21,66,11,6
657,800,42,54,23,53,11,7
514,906,38,49,19,48,11,8
687,905,44,50,22,49,11,9
1260,800,45,53,22,52,11,10
1970,884,38,51,18,50,12,0
460,855,50,51,18,50,12,1
626,854,69,51,14,50,12,2
695,854,68,51,14,50,12,3
1809,832,66,52,14,51,12,4
1875,832,65,52,14,51,12,5
1815,884,40,51,18,50,19,0
1472,833,56,52,29,51,19,1
1440,384,47,73,16,72,19,2
1575,384,49,65,15,64,19,3
964,1002,75,44,15,43,19,4
488,1003,70,43,15,42,19,5
417,1003,71,43,15,42,19,6
344,1003,73,43,15,42,19,7
1039,1002,53,44,15,43,19,8
309,961,35,47,18,46,13,0
914,955,50,47,22,46,13,1
413,955,48,48,21,47,13,2
1782,984,51,46,23,45,13,3
1833,984,50,46,22,45,13,4
1230,1002,43,44,17,43,13,5
166,964,70,46,17,43,13,6
1208,905,68,49,17,45,13,7
791,955,70,47,17,44,13,8
1599,984,70,46,17,43,13,9
1587,1030,50,40,17,39,13,10
166,1010,43,42,21,41,13,11
1092,1002,46,44,25,43,13,12
1184,1002,46,44,25,43,13,13
1883,984,39,46,18,45,13,14
1081,905,34,50,15,49,14,0
760,955,31,48,13,47,14,1
819,800,29,54,13,53,14,2
699,800,42,54,17,53,14,7
992,800,61,53,17,52,14,3
552,800,58,54,32,53,14,4
468,800,58,55,34,54,14,5
1053,800,60,53,25,52,14,6
1298,853,75,51,37,50,14,8
552,854,74,51,39,50,14,9
1735,832,74,52,40,51,14,10
1960,984,36,46,19,45,15,0
1346,1002,45,43,17,42,15,1
263,863,47,51,18,50,15,2
741,800,40,54,18,53,15,3
192,800,36,64,19,63,15,4
228,800,35,64,18,63,15,5
263,800,41,63,23,62,15,6
409,800,59,55,23,54,15,7
401,1046,56,38,22,37,15,8
1850,1030,52,39,22,38,15,9
1902,1030,50,39,22,38,15,10
617,1003,41,43,21,42,15,11
101,964,33,47,13,46,15,12
1402,943,66,48,34,47,16,0
389,906,65,49,33,48,16,1
310,912,54,49,27,48,16,2
1321,954,51,48,23,47,16,3
763,854,62,51,25,51,16,4
1605,885,59,50,24,50,16,5
252,1010,39,42,22,41,17,0
1488,1030,34,41,22,40,17,1
1683,1030,46,40,21,39,17,2
68,1011,48,41,14,40,17,3
698,1003,38,43,12,41,17,4
1555,1030,32,41,13,39,17,5
1468,985,60,45,25,42,17,6
558,1003,59,43,28,42,17,7
0,1011,35,42,18,41,17,8
610,800,47,54,22,53,18,0
1312,1002,34,44,12,46,18,1
35,1011,33,42,12,45,18,2
1522,1030,33,41,12,44,18,3
373,800,36,56,22,56,18,4
1014,955,45,47,19,44,20,0
364,955,49,48,20,44,20,1
1731,984,51,46,21,44,20,2
658,1003,40,43,16,44,20,3
454,906,60,49,22,49,20,4
1208,954,61,48,22,48,20,5
1669,984,62,46,24,46,20,6
546,955,39,48,13,46,20,7
1578,832,40,53,18,50,21,0
1940,832,56,52,29,51,21,1
1487,384,47,73,16,72,21,2
1624,384,48,65,14,64,21,3
0,384,96,96,20,91,21,4
96,384,96,96,20,92,21,5
192,384,96,96,20,92,21,6
288,384,96,96,20,92,21,7
384,384,96,96,20,92,21,8
480,384,96,96,34,87,22,0
576,384,96,96,34,87,22,1
672,384,96,96,34,87,22,2
768,384,96,96,34,87,22,3
864,384,96,96,34,87,22,4
960,384,96,96,34,87,22,5
1056,384,96,96,34,87,22,6
1152,384,96,96,34,87,22,7
1248,384,96,96,34,87,22,8
1344,384,96,96,34,87,22,9
960,192,96,96,34,87,22,10
0,0,96,96,34,87,22,11
576,736,64,64,33,61,23,0
640,736,64,64,33,60,23,1
704,736,64,64,33,52,23,2
768,736,64,64,33,50,23,3
832,736,64,64,31,58,23,4
896,736,64,64,31,53,23,5
960,736,64,64,32,55,23,6
1024,736,64,64,31,60,23,7
1088,736,64,64,33,61,23,8
1152,736,64,64,30,44,24,0
1216,736,64,64,31,42,24,1
1280,736,64,64,31,42,24,2
1344,736,64,64,31,42,24,3
1536,768,64,64,31,42,24,4
1600,768,64,64,31,42,24,5
1664,768,64,64,31,42,24,6
1728,768,64,64,31,42,24,7
1792,768,64,64,31,42,24,8
1856,768,64,64,31,42,24,9
1920,768,64,64,30,63,25,0
1984,768,64,64,30,63,25,1
1472,769,64,64,30,63,25,2
1408,777,64,64,30,63,25,3
0,800,64,64,30,63,25,4
64,800,64,64,30,63,25,5
128,800,64,64,30,63,25,6
1280,672,64,64,30,63,25,7
1216,672,64,64,30,63,25,8
1152,672,64,64,30,63,25,9
1088,672,64,64,30,63,25,10
1024,672,64,64,30,63,25,11
960,672,64,64,30,63,25,12
896,672,64,64,30,63,25,13
832,672,64,64,30,63,25,14
768,672,64,64,30,63,25,15
704,672,64,64,30,63,25,16
640,672,64,64,30,63,25,17
576,672,64,64,30,63,25,18
512,672,64,64,30,63,25,19
448,672,64,64,30,63,25,20
384,672,64,64,30,63,25,21
320,672,64,64,30,63,25,22
256,672,64,64,30,63,25,23
192,672,64,64,30,63,25,24
128,672,64,64,30,63,25,25
64,672,64,64,30,63,25,26
0,672,64,64,30,63,25,27
1408,649,64,64,30,63,25,28
1504,641,64,64,30,63,26,0
1984,640,64,64,30,63,26,1
1920,640,64,64,30,63,26,2
1856,640,64,64,30,63,26,3
1792,640,64,64,30,63,26,4
512,736,64,64,30,63,26,5
1728,640,64,64,30,63,26,6
1664,640,64,64,30,63,26,7
1600,640,64,64,30,63,26,8
1344,608,64,64,30,63,26,9
1280,608,64,64,30,63,26,10
1216,608,64,64,30,63,26,11
1152,608,64,64,30,63,26,12
1088,608,64,64,30,63,26,13
1024,608,64,64,30,63,26,14
960,608,64,64,30,63,26,15
896,608,64,64,30,63,26,16
832,608,64,64,30,63,26,17
768,608,64,64,30,63,26,18
704,608,64,64,30,63,26,19
640,608,64,64,30,63,26,20
576,608,64,64,34,65,27,0
512,608,64,64,34,65,27,1
448,608,64,64,34,65,27,2
384,608,64,64,34,65,27,3
320,608,64,64,34,65,27,4
256,608,64,64,34,65,27,5
192,608,64,64,36,63,28,0
128,608,64,64,36,63,28,1
64,608,64,64,36,63,28,2
0,608,64,64,36,63,28,3
1440,585,64,64,36,63,28,4
1536,577,64,64,36,63,28,5
1952,576,64,64,36,63,28,6
1888,576,64,64,36,63,28,7
1824,576,64,64,36,63,28,8
1760,576,64,64,36,63,28,9
1696,576,64,64,36,63,28,10
1632,576,64,64,36,63,28,11
1376,544,64,64,36,63,28,12
1312,544,64,64,36,63,28,13
1248,544,64,64,36,63,28,14
1184,544,64,64,36,63,28,15
1120,544,64,64,36,63,28,16
1056,544,64,64,36,63,28,17
1959,512,64,64,36,63,28,18
1960,448,64,64,36,61,28,19
1960,384,64,64,36,61,28,20
1344,672,64,64,36,61,28,21
1568,704,64,64,36,61,28,22
1632,704,64,64,36,61,28,23
1696,704,64,64,36,61,28,24
1760,704,64,64,36,61,28,25
