spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
4071,1069,25,25,0,1,9000,0
4071,1094,12,25,0,1,9000,2
3937,1185,67,25,0,0,9000,10
2837,1158,37,55,18,53,0,0
2874,1158,37,55,18,53,0,1
3059,1158,37,55,18,53,0,2
2911,1158,37,55,18,53,0,3
2985,1158,37,55,18,53,0,4
2800,1158,37,55,18,53,0,5
3022,1158,37,55,18,53,0,6
2948,1158,37,55,18,53,0,7
2689,1158,37,55,18,53,0,8
2726,1158,37,55,18,53,0,9
2763,1158,37,55,18,53,0,10
3688,1130,54,55,31,52,1,0
3580,1130,54,55,31,52,1,1
3634,1130,54,55,31,52,1,2
3204,1103,54,55,31,52,1,3
2476,1103,54,55,31,52,1,4
3150,1103,54,55,31,52,1,5
3096,1103,54,55,31,52,1,6
3042,1103,54,55,31,52,1,7
743,1161,46,53,22,49,2,0
789,1161,46,53,22,49,2,1
697,1161,46,53,22,49,2,2
835,1161,46,53,22,49,2,3
71,978,65,64,33,50,3,0
909,978,65,64,33,50,3,1
844,978,65,64,33,50,3,2
3096,1158,67,54,31,50,4,0
3163,1158,67,54,31,50,4,1
126,1161,67,54,31,50,4,2
2177,1042,59,60,29,55,5,0
0,1103,59,60,29,55,5,1
2177,1102,59,60,29,55,5,2
3521,1102,59,60,29,55,5,3
3067,915,53,65,26,57,6,0
3173,915,53,65,28,57,6,1
3120,915,53,65,28,57,6,2
94,912,53,65,26,57,6,3
1090,1161,45,50,21,40,7,0
1045,1161,45,50,21,40,7,1
1000,1161,45,50,21,40,7,2
955,1161,45,50,21,40,7,3
1270,1161,45,50,21,40,7,4
1135,1161,45,50,21,40,7,5
1180,1161,45,50,21,40,7,6
1225,1161,45,50,21,40,7,7
1053,840,74,72,41,65,8,0
1571,840,74,72,41,65,8,1
1497,840,74,72,41,65,8,2
1423,840,74,72,41,65,8,3
1349,840,74,72,41,65,8,4
1275,840,74,72,41,65,8,5
1201,840,74,72,41,65,8,6
1127,840,74,72,41,65,8,7
979,840,74,72,41,65,8,8
905,840,74,72,41,65,8,9
74,840,74,72,41,65,8,10
4015,802,74,72,41,65,8,11
3941,802,74,72,41,65,8,12
3867,802,74,72,41,65,8,13
3793,802,74,72,41,65,8,14
683,774,74,72,41,65,8,15
609,774,74,72,41,65,8,16
535,774,74,72,41,65,8,17
461,774,74,72,41,65,8,18
3719,773,74,72,41,65,8,19
3645,773,74,72,41,65,8,20
3571,773,74,72,41,65,8,21
1645,840,74,72,41,65,8,22
2721,832,74,72,41,65,8,23
176,839,74,72,41,65,8,24
250,839,74,72,41,65,8,25
324,839,74,72,41,65,8,26
757,839,74,72,41,65,8,27
831,839,74,72,41,65,8,28
1998,839,74,72,41,65,8,29
2072,839,74,72,41,65,8,30
2146,839,74,72,41,65,8,31
2795,839,74,72,41,65,8,32
2869,839,74,72,41,65,8,33
