spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
0,0,494,662,279,580,196,0
495,0,494,662,279,580,196,1
990,0,494,662,279,580,196,2
1485,0,662,661,333,329,1111,5
2148,0,618,618,308,305,1111,4
2767,0,800,600,400,300,8005,0
0,663,635,565,281,279,1111,3
3568,0,500,500,249,248,1111,2
636,663,404,482,0,0,740,0
1041,663,640,480,287,295,4532,3
1682,663,640,480,287,295,4532,4
2323,663,640,480,287,295,4532,5
2964,663,640,480,287,295,4532,6
0,1229,640,480,287,295,4532,7
641,1229,640,480,287,295,4532,8
1282,1229,640,480,287,295,1111,6
3605,663,282,445,208,381,6666,11
1923,1229,616,442,315,379,6666,10
2540,1229,558,425,294,370,6666,9
3099,1229,478,412,238,405,3200,0
3578,1229,478,412,238,405,3200,1
0,1710,478,412,238,405,3200,2
479,1710,478,412,238,405,3200,3
958,1710,478,412,238,407,3200,4
1437,1710,478,412,240,410,3200,5
1916,1710,478,412,236,405,3200,6
2395,1710,478,412,240,410,3006,0
2874,1710,478,412,240,410,3006,1
3353,1710,478,412,240,410,3006,2
0,2123,478,412,240,410,3006,3
479,2123,478,412,240,410,3006,4
958,2123,534,396,279,340,6666,8
1493,2123,480,392,249,328,6666,7
1974,2123,640,364,287,295,4532,1
2615,2123,640,364,287,295,4532,2
3256,2123,358,363,69,71,5555,5
3615,2123,456,358,236,294,6666,6
0,2536,640,351,287,295,4532,0
641,2536,339,339,169,167,1111,1
981,2536,331,336,63,66,5555,4
3888,663,108,319,115,111,6777,6
3832,1710,114,319,122,121,6777,7
3947,1710,119,319,123,121,6777,8
1313,2536,103,313,102,115,6777,4
1417,2536,292,300,60,61,5555,3
1710,2536,178,296,87,147,8312,4
1889,2536,132,295,60,147,8301,5
2022,2536,128,290,28,145,8300,11
2151,2536,129,290,51,144,8310,11
2281,2536,125,289,30,144,8300,10
2407,2536,123,289,48,143,8310,10
2531,2536,391,288,205,224,6666,5
3997,663,93,288,51,144,8320,11
2923,2536,118,286,28,142,8300,9
3042,2536,117,286,45,141,8310,9
3160,2536,89,286,49,142,8320,10
3250,2536,111,283,42,140,8310,8
3362,2536,84,282,47,141,8320,9
3447,2536,106,281,29,140,8300,8
3554,2536,80,280,45,139,8320,8
3635,2536,103,279,32,139,8300,7
3739,2536,96,278,36,137,8310,7
3836,2536,255,273,57,53,5555,2
0,2888,267,264,167,152,3333,9
268,2888,90,264,103,93,6777,5
359,2888,94,256,30,128,8300,6
454,2888,163,256,39,128,8320,7
618,2888,88,255,32,126,8310,6
707,2888,230,254,115,116,6777,1
938,2888,70,253,26,126,8300,4
1009,2888,114,253,53,126,8301,4
1124,2888,310,252,131,128,6668,4
1435,2888,227,251,155,133,3333,3
1663,2888,167,251,83,124,8310,4
1831,2888,963,251,84,159,3006,9
2795,2888,963,251,84,159,3006,10
3759,2888,298,250,129,131,6668,3
0,3153,229,250,115,114,6777,2
230,3153,220,249,129,138,3333,0
451,3153,254,248,1,1,750,0
706,3153,254,248,1,1,750,1
961,3153,254,248,1,1,750,2
1216,3153,254,248,1,1,750,3
1471,3153,254,248,1,1,750,4
1726,3153,254,248,1,1,750,5
1981,3153,254,248,1,1,750,6
2236,3153,254,248,1,1,750,7
2491,3153,254,248,1,1,750,8
2746,3153,254,248,1,1,750,9
3001,3153,254,248,1,1,750,10
3256,3153,254,248,1,1,750,11
3511,3153,254,248,1,1,750,12
3766,3153,254,248,1,1,750,13
0,3404,254,248,1,1,750,14
255,3404,254,248,1,1,750,15
510,3404,254,248,1,1,750,16
765,3404,254,248,1,1,750,17
1020,3404,254,248,1,1,750,18
1275,3404,254,248,1,1,750,19
1530,3404,254,248,1,2,750,20
1785,3404,254,248,1,1,750,21
2040,3404,254,248,1,1,750,22
2295,3404,254,248,1,1,750,23
2550,3404,254,248,1,1,750,24
2805,3404,254,248,1,1,750,25
3060,3404,254,248,1,1,750,26
3315,3404,254,248,1,1,750,27
3570,3404,254,248,1,1,750,28
3825,3404,254,248,1,1,750,29
0,3653,254,248,1,1,750,30
255,3653,254,248,1,1,750,31
510,3653,254,248,1,1,750,32
765,3653,254,248,1,1,750,33
1020,3653,254,248,1,1,750,34
1275,3653,254,248,1,1,750,35
1530,3653,254,248,1,1,750,36
1785,3653,254,248,1,1,750,37
2040,3653,254,248,1,1,750,38
2295,3653,254,248,1,1,750,39
2550,3653,254,248,1,1,750,40
2805,3653,254,248,1,1,750,41
3060,3653,254,248,1,1,750,42
3315,3653,254,248,1,1,750,43
3570,3653,254,248,1,1,750,44
3825,3653,254,248,1,1,750,45
0,3902,254,248,1,1,750,46
255,3902,254,248,1,1,750,47
510,3902,254,248,1,1,750,48
765,3902,254,248,1,1,750,49
1020,3902,254,248,1,1,750,50
1275,3902,254,248,1,1,750,51
1530,3902,254,248,1,1,750,52
1785,3902,254,248,1,1,750,53
2040,3902,254,248,1,1,750,54
2295,3902,254,248,1,1,750,55
2550,3902,254,248,1,1,750,56
2805,3902,254,248,1,1,750,57
3060,3902,254,248,1,1,750,58
3315,3902,254,248,1,1,750,59
3570,3902,254,248,1,1,750,60
3825,3902,167,248,83,124,8320,5
0,4151,243,247,169,136,3333,6
244,4151,202,246,81,122,8301,11
447,4151,164,245,81,122,8321,11
612,4151,193,244,80,122,8301,10
806,4151,163,244,81,121,8321,10
970,4151,242,243,121,119,1111,0
1213,4151,250,243,164,139,3333,7
1464,4151,162,243,80,121,8321,9
1627,4151,180,241,78,119,8301,8
1808,4151,187,241,79,120,8301,9
1996,4151,207,240,134,143,3333,2
2204,4151,304,240,129,119,6668,5
3993,3902,75,240,26,122,8210,7
2509,4151,94,240,38,115,8220,7
2604,4151,161,240,78,122,8311,10
2766,4151,384,240,0,0,8420,0
3151,4151,384,240,0,0,8420,1
3536,4151,384,240,0,0,8420,2
0,4399,384,240,0,0,8420,3
385,4399,320,240,0,0,8400,0
706,4399,320,240,0,0,8400,1
1027,4399,320,240,0,0,8400,2
1348,4399,320,240,0,0,8400,3
1669,4399,320,240,0,0,8400,4
1990,4399,320,240,0,0,8400,5
2311,4399,320,240,0,0,8400,6
2632,4399,320,240,0,0,8400,7
2953,4399,320,240,0,0,8400,8
3274,4399,320,240,0,0,8400,9
3595,4399,320,240,0,0,8400,10
0,4640,320,240,0,0,8400,11
321,4640,320,240,0,0,8400,12
642,4640,320,240,0,0,8400,13
963,4640,320,240,0,0,8400,14
1284,4640,320,240,0,0,8400,15
1605,4640,320,240,0,0,8400,16
1926,4640,320,240,0,0,8400,17
2247,4640,320,240,0,0,8400,18
2568,4640,320,240,0,0,8400,19
2889,4640,320,240,0,0,8400,20
3210,4640,320,240,0,0,8400,21
3531,4640,320,240,0,0,8400,22
0,4881,320,240,0,0,8400,23
321,4881,320,240,0,0,8400,24
642,4881,320,240,0,0,8400,25
963,4881,320,240,0,0,8400,26
1284,4881,320,240,0,0,8400,27
1605,4881,320,240,0,0,8400,28
