spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
334,1595,25,25,0,1,9000,0
2035,1556,12,25,0,1,9000,2
359,1595,40,11,0,0,9000,10
632,1314,45,53,23,52,0,0
1086,1315,45,52,21,51,0,1
399,1367,46,51,20,50,0,2
490,1367,45,51,17,50,0,3
579,1367,44,51,17,50,0,4
666,1367,43,51,17,50,0,5
750,1367,39,51,18,50,0,6
623,1367,43,51,22,50,0,7
535,1367,44,51,23,50,0,8
312,1316,44,52,22,51,0,9
1135,1314,45,53,23,52,0,10
267,1316,45,52,21,51,0,11
96,1367,46,51,20,50,0,12
445,1367,45,51,17,50,0,13
1884,1261,58,53,18,52,0,20
966,1153,65,55,16,54,0,21
634,1151,65,56,15,55,0,22
1169,1151,65,56,15,55,0,23
429,1151,65,56,15,55,0,24
569,1151,65,56,15,55,0,25
168,1099,68,56,17,55,0,26
363,1098,66,56,16,55,0,27
1095,1153,64,55,15,54,0,28
914,1262,56,53,16,52,0,29
164,1264,51,53,25,52,1,0
486,1263,51,53,25,52,1,1
262,1209,53,54,28,53,1,2
1097,1208,56,54,30,53,1,3
752,1154,56,55,29,54,1,4
315,1209,51,54,26,53,1,5
215,1316,52,52,26,51,1,6
2007,1093,41,57,22,56,1,7
1584,1151,43,56,24,55,1,8
1711,1206,46,55,25,54,1,9
1892,1206,45,55,24,54,1,10
1627,1151,42,56,22,55,1,11
1137,1037,40,58,21,57,1,12
792,1097,39,57,21,56,1,13
1270,1466,70,48,30,47,2,0
1340,1466,67,48,28,47,2,1
310,1514,59,45,28,48,2,2
402,1418,53,49,29,48,2,3
846,1417,56,50,29,49,2,4
1595,1466,61,48,30,47,2,5
1778,1417,68,49,28,48,2,6
1639,1417,70,49,27,48,2,7
1015,1367,72,50,28,49,2,8
1580,1314,78,52,37,51,2,10
458,1316,74,51,32,50,2,11
1349,1207,62,54,27,53,2,12
1223,1207,63,54,27,53,3,0
1310,1261,77,53,31,52,3,1
942,1367,73,50,29,49,3,2
244,1514,66,45,27,44,3,3
1096,1513,60,46,25,45,3,4
952,1467,51,47,16,46,3,5
0,1418,62,49,16,48,3,6
348,1418,54,49,18,48,3,7
213,1155,49,55,29,54,4,0
1802,1206,45,55,28,54,4,1
1937,1206,44,55,27,54,4,2
952,1417,47,50,26,49,4,3
701,1418,44,49,25,48,4,4
91,1467,44,48,25,47,4,5
127,971,45,63,22,60,4,6
1181,1035,47,59,22,58,5,0
1669,1151,42,56,24,55,5,1
1090,1037,47,59,28,59,5,2
1785,1094,56,57,38,57,5,3
752,1209,48,54,22,55,5,4
1991,1314,57,52,29,54,5,5
48,1094,48,58,28,58,5,6
1757,1206,45,55,23,54,5,7
999,1417,47,50,26,49,6,0
1964,1466,48,48,27,47,6,1
1817,1466,49,48,27,47,6,2
1915,1466,49,48,27,47,6,3
1866,1466,49,48,28,47,6,4
655,1418,46,49,25,48,6,5
1585,1261,62,53,18,54,6,6
1686,1366,63,51,19,52,6,7
860,1315,62,52,18,53,6,8
1472,1207,61,54,21,54,6,9
1533,1207,61,54,21,54,6,10
1411,1207,61,54,21,54,6,11
129,1034,40,59,20,59,6,12
293,980,41,59,20,59,6,13
852,978,41,60,20,60,6,14
1234,1151,64,56,21,56,6,15
1981,1206,67,54,28,55,6,16
291,1154,61,55,22,55,6,17
984,1208,57,54,23,53,6,19
637,1207,64,54,28,55,6,20
352,1154,59,55,23,55,6,21
667,1033,47,61,20,61,6,22
699,1151,53,56,24,56,6,23
494,1154,57,55,23,55,6,24
1684,899,58,71,17,66,6,25
472,896,58,74,17,69,6,26
1315,899,58,73,17,68,6,27
1742,899,60,70,19,65,6,28
471,970,62,65,21,60,6,29
1866,967,65,67,24,62,6,30
1550,1094,66,57,28,54,7,0
800,1262,57,53,32,55,7,1
518,1559,56,35,31,44,7,2
1942,1261,39,53,24,48,7,3
1981,1260,40,54,15,46,7,4
1089,1559,48,35,22,42,7,5
416,1514,47,45,19,49,7,6
776,1558,47,37,19,41,7,7
0,1555,43,40,22,47,7,8
37,1261,33,54,15,46,7,9
1269,1314,40,53,24,48,7,10
244,1559,56,37,31,44,7,11
70,1314,51,53,26,55,7,12
794,1467,53,47,31,46,8,0
789,1417,57,50,33,49,8,1
1978,1417,64,49,39,48,8,2
1709,1417,69,49,37,48,8,3
1621,1366,65,51,37,50,8,4
606,1418,49,49,23,48,8,5
1944,1554,53,40,26,39,8,6
1326,1514,57,42,28,41,8,7
1262,1514,64,42,34,41,8,8
169,1041,63,58,27,58,8,9
1298,1151,62,56,28,56,8,10
524,1097,45,57,24,52,9,0
1798,1034,45,60,24,53,9,1
902,1417,50,50,25,48,9,2
1888,1554,56,40,30,38,9,3
111,1594,60,33,31,37,9,4
1212,1514,50,43,26,44,9,5
779,1514,50,44,26,44,9,6
717,1558,59,37,30,33,9,7
1371,1556,50,39,26,34,9,8
602,1595,66,22,33,16,9,9
77,1555,34,40,18,37,10,0
938,1557,39,38,20,36,10,1
193,1560,40,34,20,35,10,2
1997,1556,38,39,19,37,10,3
43,1555,34,40,16,37,10,4
977,1557,39,38,19,36,10,5
153,1560,40,34,20,33,10,6
1051,1556,38,39,19,36,10,7
1041,1208,56,54,36,53,11,0
845,1096,62,57,42,56,11,1
364,1040,66,58,46,57,11,2
1804,1366,54,51,29,50,11,3
410,1261,76,53,23,52,11,4
773,1039,72,58,22,57,11,5
1096,1467,62,46,26,45,11,6
496,1467,64,47,28,44,11,7
533,896,40,62,19,61,12,0
1031,1153,64,55,44,54,12,1
900,1153,66,55,46,54,12,2
1046,1417,47,50,26,49,12,3
180,1418,57,49,19,48,12,4
1424,1417,72,49,19,48,12,5
1858,1366,54,51,19,50,12,6
1093,1417,47,50,15,49,12,7
1568,1417,71,49,20,48,12,8
926,1208,58,54,19,53,12,9
1025,1262,55,53,23,52,13,0
1798,1314,65,52,34,51,13,1
622,1467,62,47,33,46,13,2
900,1467,52,47,22,46,13,3
847,1467,53,47,14,46,13,4
705,1514,74,44,15,43,13,5
93,1207,71,54,25,53,13,6
0,972,58,63,41,62,13,7
58,972,66,62,39,61,13,8
1723,1093,62,58,37,57,13,9
