spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
4057,1122,25,25,0,1,9000,0
4082,1122,12,25,0,1,9000,2
1152,387,96,96,0,0,9000,10
1216,1219,64,64,20,50,0,0
1152,1219,64,64,20,50,0,1
1088,1219,64,64,20,50,0,2
1024,1219,64,64,20,50,0,3
960,1219,64,64,20,50,0,4
896,1219,64,64,20,50,0,5
832,1219,64,64,20,50,0,6
768,1219,64,64,20,50,0,10
704,1219,64,64,20,50,0,11
640,1219,64,64,20,50,0,12
576,1219,64,64,34,59,1,0
512,1219,64,64,26,61,1,1
448,1219,64,64,31,60,1,2
384,1219,64,64,22,59,1,3
320,1219,64,64,40,61,1,4
256,1219,64,64,27,63,1,5
192,1219,64,64,38,62,1,6
128,1219,64,64,25,59,1,7
64,1219,64,64,30,62,2,0
0,1219,64,64,27,64,2,1
1984,1211,64,64,29,64,2,2
1920,1211,64,64,27,60,2,3
1856,1211,64,64,32,58,2,4
1792,1211,64,64,30,60,2,5
2701,1210,64,64,33,61,3,0
2637,1210,64,64,33,61,3,1
2573,1210,64,64,33,61,3,2
2509,1210,64,64,30,61,10,0
2445,1210,64,64,30,61,10,1
2381,1210,64,64,30,61,10,2
2317,1210,64,64,32,58,10,3
2253,1210,64,64,32,58,10,4
2189,1210,64,64,32,58,10,5
2125,1210,64,64,22,61,11,0
2061,1210,64,64,24,53,11,1
3277,1201,64,64,24,63,11,2
3213,1201,64,64,21,60,11,3
3149,1201,64,64,35,57,15,0
3085,1201,64,64,34,60,15,1
3021,1201,64,64,35,57,15,2
2957,1201,64,64,31,61,15,3
2893,1201,64,64,39,59,15,4
2829,1201,64,64,29,59,15,5
2765,1201,64,64,39,59,15,6
3545,1192,64,64,32,60,15,7
3481,1192,64,64,33,60,15,8
3417,1192,64,64,32,60,15,9
3353,1192,64,64,31,62,15,100
3993,1186,64,64,42,60,15,10
3929,1186,64,64,39,57,15,11
3865,1186,64,64,42,60,15,12
3801,1186,64,64,39,59,15,13
3737,1186,64,64,30,61,20,0
3960,1122,78,64,28,55,30,0
3609,1186,64,64,31,46,30,1
3882,1122,78,64,31,45,30,2
1664,1155,64,64,32,58,30,3
1600,1155,64,64,33,58,30,4
1536,1155,64,64,35,59,30,5
1472,1155,64,64,35,56,30,6
1408,1155,64,64,26,66,30,7
1344,1155,64,64,21,59,30,8
1280,1155,64,64,28,62,30,9
3096,258,96,96,29,91,32,0
3192,258,96,96,29,91,32,1
3288,258,96,96,29,91,32,2
3384,258,96,96,29,91,32,3
3480,258,96,96,28,91,32,4
3576,258,96,96,24,91,32,5
3672,258,96,96,30,90,32,6
3768,258,96,96,30,89,32,7
3864,258,96,96,31,89,32,8
3960,258,96,96,31,89,32,9
2136,354,96,96,31,89,32,10
2232,354,96,96,31,89,32,11
2328,354,96,96,26,93,35,0
2424,354,96,96,26,93,35,1
2520,354,96,96,26,93,35,2
2616,354,96,96,13,93,35,3
2712,354,96,96,12,93,35,4
2808,354,96,96,3,93,35,5
2904,354,96,96,3,93,35,6
3000,354,96,96,12,93,35,7
3096,354,96,96,35,98,38,0
3192,354,96,96,34,102,38,1
3288,354,96,96,34,102,38,2
3384,354,96,96,28,79,38,3
3480,354,96,96,26,66,38,4
384,579,96,96,26,67,38,5
3672,354,96,96,26,67,38,6
3768,354,96,96,26,67,38,7
3864,354,96,96,29,93,39,0
3960,354,96,96,31,93,39,1
0,387,96,96,29,93,39,2
96,387,96,96,29,93,39,3
192,387,96,96,29,93,39,4
288,387,96,96,29,93,39,5
3609,1250,89,57,20,48,39,6
3698,1250,89,57,20,48,39,7
1664,1219,89,57,23,49,39,8
1024,1155,64,64,34,62,51,0
960,1155,64,64,8,62,55,0
896,1155,64,64,34,62,51,1
832,1155,64,64,34,62,51,2
768,1155,64,64,34,62,51,3
704,1155,64,64,34,62,51,4
640,1155,64,64,34,62,51,5
1728,1155,64,64,34,62,51,6
1440,387,96,96,23,91,60,0
1536,387,96,96,23,91,60,1
1632,387,96,96,23,91,60,2
1728,387,96,96,22,91,60,3
1824,387,96,96,23,91,60,4
1920,387,96,96,23,91,60,5
2016,387,96,96,23,91,60,6
2112,450,96,96,33,99,62,0
2208,450,96,96,31,100,62,1
2304,450,96,96,34,96,62,2
2400,450,96,96,33,98,62,3
2496,450,96,96,33,98,62,4
2592,450,96,96,30,98,62,5
2688,450,96,96,31,90,70,0
2784,450,96,96,31,90,70,1
2880,450,96,96,31,90,70,2
2976,450,96,96,31,90,70,3
3072,450,96,96,31,90,70,4
3168,450,96,96,29,90,70,5
3264,450,96,96,29,90,70,6
3360,450,96,96,29,90,70,7
3456,450,96,96,31,92,78,0
3552,450,96,96,29,89,78,1
3648,450,96,96,31,87,78,2
3744,450,96,96,31,86,78,3
3840,450,96,96,27,86,78,4
3936,450,96,96,18,87,78,5
0,483,96,96,17,86,78,6
96,483,96,96,19,86,78,7
192,483,96,96,24,86,78,8
288,483,96,96,22,91,91,0
384,483,96,96,22,93,91,1
480,483,96,96,23,94,91,2
576,483,96,96,30,93,91,3
672,483,96,96,23,94,91,4
768,483,96,96,21,93,91,5
864,483,96,96,23,91,92,0
960,483,96,96,23,93,92,1
1056,483,96,96,25,92,92,2
1152,483,96,96,25,91,92,3
1248,483,96,96,26,89,92,4
1344,483,96,96,30,88,92,5
1440,483,96,96,25,92,92,6
1536,483,96,96,27,88,92,7
1632,483,96,96,30,79,92,8
1728,483,96,96,25,98,92,10
1824,483,96,96,30,92,94,0
1920,483,96,96,29,95,94,1
2016,483,96,96,29,92,94,2
2112,546,96,96,29,92,94,3
2208,546,96,96,28,88,94,4
2304,546,96,96,26,89,94,5
2400,546,96,96,34,87,94,6
2496,546,96,96,30,90,94,7
2592,546,96,96,36,90,94,8
2688,546,96,96,33,99,95,0
2784,546,96,96,33,99,95,1
2880,546,96,96,33,99,95,2
2976,546,96,96,25,98,95,3
3072,546,96,96,35,97,95,4
3168,546,96,96,39,99,95,5
3264,546,96,96,40,98,95,6
3360,546,96,96,41,98,95,7
3456,546,96,96,41,93,95,8
3552,546,96,96,42,93,95,9
3648,546,96,96,43,92,95,10
3744,546,96,96,45,97,95,11
3840,546,96,96,45,96,95,12
3936,546,96,96,44,64,95,13
0,579,96,96,42,97,95,14
3417,1122,64,70,23,53,96,0
3353,1122,64,70,22,59,96,1
3481,1122,64,70,27,61,96,2
512,1155,64,64,31,61,96,3
448,1155,64,64,31,61,96,4
384,1155,64,64,31,61,96,5
320,1155,64,64,31,61,96,6
256,1155,64,64,31,61,96,7
3700,1122,91,64,31,59,97,0
3609,1122,91,64,31,59,97,1
3791,1122,91,64,28,58,97,2
1152,579,96,96,32,90,98,0
1248,579,96,96,23,91,98,1
1344,579,96,96,20,91,98,2
1440,579,96,96,15,94,98,3
1536,579,96,96,16,97,98,4
1632,579,96,96,16,96,98,5
1728,579,96,96,15,92,98,6
1824,579,96,96,20,91,98,7
1920,579,96,96,29,90,99,0
2016,579,96,96,33,89,99,1
2112,642,96,96,33,89,99,2
2208,642,96,96,25,90,99,3
2304,642,96,96,33,93,99,4
2400,642,96,96,38,88,100,0
2496,642,96,96,37,89,100,1
2592,642,96,96,38,89,100,2
2688,642,96,96,33,85,100,3
2784,642,96,96,35,82,100,4
2880,642,96,96,35,85,100,5
2976,642,96,96,34,85,100,6
3072,642,96,96,33,85,100,7
3168,642,96,96,26,92,101,0
3264,642,96,96,25,92,101,1
3360,642,96,96,22,93,101,2
3456,642,96,96,22,93,101,3
480,579,96,96,20,91,101,4
3648,642,96,96,20,91,101,5
3744,642,96,96,20,91,101,6
3840,642,96,96,30,92,101,7
3936,642,96,96,30,91,101,8
0,675,96,96,30,91,101,9
96,675,96,96,30,91,101,10
192,675,96,96,19,90,101,11
288,675,96,96,18,90,101,12
384,675,96,96,19,90,101,13
480,675,96,96,19,90,101,14
576,675,96,96,30,92,101,15
672,675,96,96,30,92,101,16
768,675,96,96,30,92,101,17
864,675,96,96,27,93,102,0
960,675,96,96,27,93,102,1
1056,675,96,96,27,93,102,2
1152,675,96,96,27,93,102,3
1248,675,96,96,27,93,102,4
1344,675,96,96,27,93,102,5
1440,675,96,96,27,93,102,6
1536,675,96,96,27,93,102,7
1632,675,96,96,27,93,102,8
1728,675,96,96,27,93,102,9
1824,675,96,96,27,93,102,10
1920,675,96,96,27,93,102,11
2016,675,96,96,30,93,103,0
2112,738,96,96,30,93,103,1
2208,738,96,96,30,93,103,2
2304,738,96,96,30,93,103,3
2400,738,96,96,29,93,103,4
2496,738,96,96,29,93,103,5
2592,738,96,96,29,93,103,6
2688,738,96,96,29,93,103,7
2784,738,96,96,29,93,103,8
3255,1122,98,79,61,63,205,0
2765,1122,98,79,29,94,205,1
2863,1122,98,79,-3,63,205,2
2961,1122,98,79,-3,62,205,3
3059,1122,98,79,-3,63,205,4
3157,1122,98,79,-3,62,205,5
2384,930,95,96,33,93,211,0
2289,930,95,96,33,93,211,1
3648,738,96,96,35,94,216,0
3744,738,96,96,36,95,216,1
3840,738,96,96,34,93,216,2
3936,738,96,96,25,97,216,3
0,771,96,96,26,95,216,4
96,771,96,96,24,97,216,5
192,771,96,96,24,97,216,7
288,771,96,96,25,99,216,8
384,771,96,96,25,98,216,9
480,771,96,96,24,96,216,10
576,771,96,96,24,96,216,11
672,771,96,96,24,99,216,12
768,771,96,96,14,97,216,13
864,771,96,96,17,98,216,14
960,771,96,96,17,98,216,15
1056,771,96,96,25,98,216,16
1152,771,96,96,25,98,216,17
1248,771,96,96,27,94,216,18
0,1155,64,64,26,57,220,0
1997,1147,64,64,25,59,220,1
1933,1147,64,64,24,59,220,2
1869,1147,64,64,22,61,220,3
