spr_x,spr_y,spr_width,spr_height,spr_off_x,spr_off_y,spr_group,spr_no
0,0,320,240,0,0,1200,10
320,0,320,240,0,0,1205,200
640,0,319,240,-1,0,1205,0
959,0,319,240,-1,0,1205,1
1278,0,319,240,-1,0,1205,2
1597,0,319,240,-1,0,1205,3
0,240,319,240,-1,0,1205,4
319,240,319,240,-1,0,1205,5
638,240,319,240,-1,0,1205,6
957,240,319,240,-1,0,1205,7
1276,240,319,240,-1,0,1205,8
1595,240,319,240,-1,0,1205,9
0,480,319,240,-1,0,1205,10
319,480,319,240,-1,0,1205,11
638,480,319,240,-1,0,1205,12
957,480,319,240,-1,0,1205,13
1276,480,319,240,-1,0,1205,14
1595,480,319,240,-1,0,1205,15
0,720,319,240,-1,0,1205,16
319,720,319,240,-1,0,1205,17
638,720,319,240,-1,0,1205,18
957,720,319,240,-1,0,1205,19
1276,720,319,240,-1,0,1205,20
1595,720,319,240,-1,0,1205,21
0,960,319,240,-1,0,1205,22
319,960,319,240,-1,0,1205,23
638,960,319,240,-1,0,1205,24
957,960,319,240,-1,0,1205,25
1276,960,319,240,-1,0,1205,26
1595,960,319,240,-1,0,1205,27
0,1200,319,240,-1,0,1205,28
319,1200,319,240,-1,0,1205,29
638,1200,319,240,-1,0,1205,30
957,1200,319,240,-1,0,1205,31
1276,1200,319,240,-1,0,1205,32
1595,1200,319,240,-1,0,1205,33
0,1440,319,240,-1,0,1205,34
319,1440,319,240,-1,0,1205,35
638,1440,319,240,-1,0,1205,36
957,1440,319,240,-1,0,1205,37
1276,1440,319,240,-1,0,1205,38
1595,1440,319,240,-1,0,1205,39
0,1680,319,240,-1,0,1205,40
319,1680,319,240,-1,0,1205,41
638,1680,319,240,-1,0,1205,42
957,1680,319,240,-1,0,1205,43
1276,1680,319,240,-1,0,1205,44
1595,1680,319,240,-1,0,1205,45
0,1920,319,240,-1,0,1205,46
319,1920,319,240,-1,0,1205,47
638,1920,319,240,-1,0,1205,48
957,1920,319,240,-1,0,1205,49
1276,1920,319,240,-1,0,1205,50
1595,1920,319,240,-1,0,1205,51
0,2160,319,240,-1,0,1205,52
319,2160,319,240,-1,0,1205,53
638,2160,319,240,-1,0,1205,54
957,2160,319,240,-1,0,1205,55
1276,2160,319,240,-1,0,1205,56
1595,2160,319,240,-1,0,1205,57
0,2400,319,240,-1,0,1205,58
319,2400,319,240,-1,0,1205,59
638,2400,319,240,-1,0,1205,60
957,2400,319,240,-1,0,1205,61
1276,2400,319,240,-1,0,1205,62
1595,2400,319,240,-1,0,1205,63
0,2640,254,152,-52,-30,1100,118
254,2640,255,152,-51,-30,1100,119
509,2640,254,151,-52,-31,1100,117
763,2640,251,150,-53,-32,1100,111
1014,2640,252,150,-53,-32,1100,112
1266,2640,254,150,-52,-32,1100,113
1520,2640,254,150,-52,-32,1100,114
1774,2640,254,150,-52,-32,1100,115
0,2792,254,150,-52,-32,1100,116
254,2792,250,148,-54,-32,1100,109
504,2792,250,148,-54,-32,1100,110
754,2792,250,147,-54,-33,1100,107
1004,2792,250,147,-54,-33,1100,108
1254,2792,249,146,-55,-34,1100,104
1503,2792,250,146,-54,-34,1100,105
1753,2792,250,146,-54,-34,1100,106
0,2942,248,145,-56,-35,1100,101
248,2942,248,145,-56,-35,1100,102
